"Swap 
 Percentage",Measurement,Feature,sex,age,activities,Medu,health,famsup,freetime,goout,romantic,Fjob,reason,famrel,studytime,paid,internet,Walc,nursery,Pstatus,schoolsup,traveltime,higher,guardian,absences,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
50%,Hellinger distance,sex,-,0.34,0.52,0.4,0.45,0.56,0.38,0.33,0.47,0.5800000000000001,0.23,0.43,0.47,0.35,0.56,0.35,0.26,0.29000000000000004,0.42,0.4,0.18,0.33,0.37,,0.19292773124980317,0.19292773124980317,2.694491369435528,8.653356144980371,[],"[0.17140930408871013, 0.34005242186961687, 0.19521514868179785, 0.2605076056810296, 0.40241968052410754, 0.1954640516064353, 0.14497650276445798, 0.2863402031105221, 0.3852964021030872, 0.07059967450589641, 0.25291675078265785, 0.26130513045605525, 0.18503320346805302, 0.39124749497707095, 0.19475583222508155, 0.08721816730258596, 0.12497519163711372, 0.30524782517646837, 0.21716145095016212, 0.1526678785975725, 0.17051089698365174, 0.20780645887931581]","[0.33882496526350947, 0.5214394409478988, 0.39585657990890544, 0.4534241213897619, 0.5625238614890473, 0.3742050140670476, 0.3346724133005875, 0.468141735772857, 0.5771925875670672, 0.22611888334131325, 0.4302462718341922, 0.474361409008454, 0.3406967665253055, 0.557238353219574, 0.35365893766669043, 0.2550025085595693, 0.29488278127047307, 0.412717332452905, 0.3989428530967861, 0.1823056043453829, 0.33276935669982133, 0.36813436725322096]"
50%,Wasserstein distance,sex,-,0.0,0.01,0.0,0.01,0.02,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,,0.0021030163576537097,0.0021030163576537097,0.0678096996853039,0.18150483009696755,[],"[0.00210301635765371, 0.00990272022411253, 0.004505026155083241, 0.00841206543061496, 0.0181767886825233, 0.00345854911586798, 0.0010493519761361502, 0.00870530899654891, 0.00510732544001621, 0.00105078944459661, 0.00405509852695909, 0.01006084175476318, 0.00299712174006016, 0.022986558151224197, 0.0016545261979900299, 0.00150215454118121, 0.0027010032372052997, 0.00841781530445679, 0.00631192400988214, 0.0028519374255536497, 0.00224963814062067, 0.00315380580225036]","[0.0049607036570492105, 0.012159545707035509, 0.00796357527095121, 0.01142068691835881, 0.021185410170267142, 0.00481264440562177, 0.00450790109200414, 0.0114178119814379, 0.00720890432920946, 0.00270244070566572, 0.0064628581982304305, 0.0123205421746071, 0.00510301303463479, 0.025542377073922956, 0.0031595556760921698, 0.0033076149275196, 0.0048083320002403895, 0.00992140731409846, 0.00856731202434467, 0.0033047399905987, 0.00510732544001616, 0.005560128005061241]"
50%,Total variation distance,sex,-,0.16,0.37,0.21000000000000002,0.31,0.52,0.18,0.16,0.32,0.38,0.09,0.25,0.3,0.16999999999999998,0.57,0.16,0.11,0.13,0.26,0.24000000000000002,0.1,0.16,0.2,,0.08297011267830448,0.08297011267830448,1.8563377545246647,8.913730884877832,[],"[0.07213112150612144, 0.2920950365100082, 0.102253017365845, 0.20908128055935396, 0.45223638205518, 0.10453363715085887, 0.05030290054328533, 0.21975905165876944, 0.29701578664628975, 0.025251582227388648, 0.15297373286666363, 0.2172000388957956, 0.08777046489949711, 0.48447806971307666, 0.08121288088121117, 0.03197452057746171, 0.0637153575352042, 0.19974008795437365, 0.14359727107384082, 0.0766922121612274, 0.07294957176042363, 0.10977127915084392]","[0.23132096444823994, 0.6645149214786858, 0.3157975066697136, 0.5182980222431334, 0.9792688439375177, 0.2853660388171073, 0.21256424032518234, 0.542702465084024, 0.6770010949241854, 0.11268316664618913, 0.40137358742792184, 0.5190648574563708, 0.2532956399799906, 1.0600214104366679, 0.23776692489193932, 0.14049289063663983, 0.2016058234427277, 0.4573011926113429, 0.3861898544808873, 0.17346434440237488, 0.23324779625823225, 0.31038929827875616]"
50%,Jensen-Shannon divergence,sex,-,0.06,0.11000000000000001,0.08,0.09,0.11,0.08,0.07,0.1,0.12,0.04,0.08,0.09,0.07,0.1,0.07,0.05,0.05,0.08,0.08,0.04,0.06,0.07,,0.038143416810130136,0.038143416810130136,0.5231840220958994,1.6866326380304097,[],"[0.03385728898088686, 0.06553317348719992, 0.03841580120586632, 0.0501627986817096, 0.07579073483960636, 0.03836101028209684, 0.028668667268508603, 0.05528026245538016, 0.07575330615753093, 0.013904540355429559, 0.04961385568197177, 0.0499129363652915, 0.03651360153859155, 0.07145265167426045, 0.0385073416172268, 0.017173794418650003, 0.02459355508147764, 0.0599486339672148, 0.04215415363563049, 0.029848775858415822, 0.033719515691945, 0.0409148113266477]","[0.06669497159615102, 0.10132758631671311, 0.07760390818041032, 0.08807157476595258, 0.10735488206387768, 0.07354604870413442, 0.0657856492802019, 0.09087145022216181, 0.11365827263517231, 0.044676137346820924, 0.0843608258060768, 0.0925263365119039, 0.06692296377040768, 0.10383671227563755, 0.06956879629164725, 0.050249379805023926, 0.05834876953380022, 0.0807466497971018, 0.07753557326052282, 0.0355204217934255, 0.06535341547772339, 0.07207231259554264]"
50%,Hellinger distance,age,-,-,0.48000000000000004,0.36,0.39,0.53,0.29000000000000004,0.32,0.42000000000000004,0.51,0.22,0.34,0.37,0.29000000000000004,0.52,0.33,0.26,0.32,0.37,0.32999999999999996,0.18000000000000002,0.28,0.33,,0.1413575481798096,0.1413575481798096,2.631608585733435,7.43971255192413,[],"[0.34283259999164273, 0.2265070954878253, 0.2696428843329456, 0.3998306214704281, 0.1700627960680063, 0.16713209264303214, 0.2790938044219287, 0.3866189324409817, 0.09004319610288938, 0.23261553159657505, 0.2400443600965952, 0.1749627304324098, 0.3855144096060494, 0.21671339768084835, 0.13652254720378032, 0.1760804476154644, 0.31041644479673935, 0.21452553159802604, 0.1721377016321064, 0.15714316211238946, 0.23206178777658693]","[0.48227200567421613, 0.35437224931361666, 0.3888197345005974, 0.5293907852370647, 0.29474320363228196, 0.31675372434174265, 0.4228484586484389, 0.5048279769072272, 0.2155761772703544, 0.34677840860556386, 0.3726650940649544, 0.297883194667466, 0.518358870983374, 0.33041808415498974, 0.2548234213485155, 0.3115922220480386, 0.36969189629236016, 0.3392059391623017, 0.1820169435480432, 0.27952493670359957, 0.3271492248193838]"
50%,Wasserstein distance,age,-,-,0.01,0.01,0.01,0.02,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,,0.00344992430510522,0.00344992430510522,0.06615732969000455,0.17943200057698358,[],"[0.01080401294882127, 0.005103013034634831, 0.00916817384081718, 0.01787635777428706, 0.0018011479809569998, 0.0013526578212933202, 0.007952075523267588, 0.005711062193409619, 0.00134978288437241, 0.00300287161390198, 0.007661706894254559, 0.00165021379260866, 0.022385696334751716, 0.0027053156425866703, 0.0019506447008448998, 0.0026995657687448405, 0.00857449936664699, 0.00525825962836456, 0.0024034472658899697, 0.0024005723289690297, 0.0036037334303744895]","[0.01350932859140793, 0.007808328677221501, 0.01217104545471919, 0.02132340714247136, 0.00450071374970183, 0.004354091966734861, 0.011107318793978388, 0.007963575270951229, 0.0038984144647688703, 0.0058504966340742395, 0.011262565387708139, 0.004047911184656789, 0.025390005417114187, 0.00600430575934355, 0.00450646362354368, 0.0046502104695897405, 0.00977334806267104, 0.00795782539710939, 0.0025529439857778597, 0.005097263160792939, 0.00570243738264684]"
50%,Total variation distance,age,-,-,0.37,0.2,0.30000000000000004,0.52,0.15000000000000002,0.14,0.29,0.36,0.1,0.19,0.25,0.14,0.5599999999999999,0.19,0.13,0.14,0.25,0.22000000000000003,0.09,0.14,0.16999999999999998,,0.07646368054862006,0.07646368054862006,1.8489519111175374,8.421465186571318,[],"[0.3004669242840698, 0.1313733542565454, 0.22999607941856923, 0.44768302661449055, 0.08264885967922017, 0.06420523209856159, 0.21007176559094706, 0.30243317972350225, 0.03812020444477557, 0.12846067254493687, 0.17985212068376363, 0.07083251933251927, 0.4754925620314984, 0.10625971524841249, 0.05663405514649879, 0.0946918525818781, 0.20647411171270122, 0.13667254345907096, 0.08757377568361549, 0.07161642581835839, 0.12341748078389947]","[0.6676790918418551, 0.33107154102499226, 0.526147401646793, 0.963698616800675, 0.2313069339635628, 0.20569579724282488, 0.5001043035630385, 0.6622267276916477, 0.13235900981335258, 0.3209574832436589, 0.42490121783422896, 0.21379646156877263, 1.0325869776185725, 0.28905862416367817, 0.1786333616567009, 0.24200809712144308, 0.4507209579372674, 0.35228635510078943, 0.17871897993865954, 0.21649528262218096, 0.3010119641766228]"
50%,Jensen-Shannon divergence,age,-,-,0.1,0.06,0.07,0.11,0.05,0.06,0.08,0.1,0.04,0.07,0.08,0.05,0.1,0.06,0.05,0.06,0.06999999999999999,0.06,0.03,0.05,0.07,,0.02769854226966717,0.02769854226966717,0.5105475674700973,1.4457917534242675,[],"[0.06590426119544308, 0.04441201714678185, 0.051679187840580065, 0.07528648672218675, 0.033367815174704114, 0.03298334688301222, 0.054004090197629015, 0.07589316958186262, 0.01778396613254335, 0.045714094724130794, 0.04629982640397829, 0.03462632402866635, 0.07042619704448605, 0.04273387088549448, 0.02693294727802409, 0.03458866060517574, 0.06092389528286526, 0.04176851595036492, 0.03376313140436289, 0.030906894315767854, 0.045699351602800434]","[0.09327537774515332, 0.06933570372281407, 0.07502854323067054, 0.1005841216961885, 0.0577077768460276, 0.06229378865271521, 0.08206482857024766, 0.09915650775523185, 0.04246583831255584, 0.06794751432432354, 0.07245042715807463, 0.05837877253974258, 0.09617245270278882, 0.06467448181042038, 0.05008350525815186, 0.06141491177236525, 0.07231562567609871, 0.06598589002321019, 0.035686029319835715, 0.05465473115766768, 0.0641149251499836]"
50%,Hellinger distance,activities,-,-,-,0.28,0.38,0.48000000000000004,0.28,0.3,0.38,0.51,0.13,0.37,0.35,0.26,0.48,0.27,0.42000000000000004,0.19,0.32999999999999996,0.3,0.16,0.26,0.30000000000000004,,0.08721816730258596,0.08721816730258596,2.4558646501894694,6.421765027824053,[],"[0.19087300384774564, 0.26244194609855537, 0.40241968052410754, 0.19567333921664515, 0.18349659024951176, 0.2863402031105221, 0.39868617299304976, 0.04360908365129298, 0.26136606578039795, 0.2613283241318064, 0.18503320346805302, 0.39124749497707095, 0.1933097728552054, 0.34005242186961687, 0.08721816730258596, 0.2956463461119234, 0.22013078632596955, 0.1526678785975725, 0.1545212027348545, 0.23123128192727976]","[0.2821832871378774, 0.38388281127847457, 0.4797586059107567, 0.27879939053168534, 0.30274958934660867, 0.37140409166187816, 0.503967814186664, 0.13227223204821775, 0.3684411899884925, 0.35401865512790276, 0.2582800128671564, 0.4819541552349824, 0.27114155438383164, 0.4188363283506048, 0.18255563319188928, 0.32528407185973385, 0.30060970274780274, 0.1625471205135093, 0.26438781605799166, 0.2986909653979921]"
50%,Wasserstein distance,activities,-,-,-,0.0,0.01,0.02,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.02,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,,0.00150215454118121,0.00150215454118121,0.06608114386160016,0.15213734944975935,[],"[0.0027010032372052897, 0.009767598188829229, 0.0181767886825233, 0.004355529435195351, 0.00300287161390198, 0.00870530899654891, 0.006001430822422659, 0.00045280256504506004, 0.00390272687015029, 0.0099142199717962, 0.00299712174006016, 0.022986558151224197, 0.0024020097974295, 0.00990272022411253, 0.00150215454118121, 0.00796788767633265, 0.006758976701085361, 0.0028519374255536497, 0.0015035920096416703, 0.0033047399905987104]","[0.00405078612157768, 0.011272627666931368, 0.01892714721888367, 0.0057067497880282205, 0.0046573978118920195, 0.009756098441145519, 0.0076545195519522186, 0.0016559636664505, 0.005103013034634811, 0.01111738107320164, 0.0038969769963084202, 0.023886413407472457, 0.00375754255564375, 0.011251065640024458, 0.00255294398577782, 0.00841781530445678, 0.007658831957333621, 0.0030014341454415398, 0.00360517089883492, 0.004207470183767901]"
