"Swap 
 Percentage",Measurement,Feature,internet,paid,Walc,famrel,higher,Medu,sex,famsup,guardian,Fjob,health,studytime,traveltime,schoolsup,reason,romantic,goout,nursery,freetime,Pstatus,activities,absences,age,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
10%,"Hellinger
 distance",sex,0.0296/0.1517,0.0239/0.0369,0.0436/0.0436,0.0337/0.0805,0.0/0.0171,0.0675/0.0607,-,0.0494/0.1668,0.0508/0.0337,0.0508/0.1481,0.0814/0.0887,0.0773/0.0819,0.0395/0.0689,0.0296/0.1197,0.0239/0.0099,0.0535/0.0851,0.0675/0.0099,0.0576/0.0099,0.0634/0.0607,0.0378/0.0436,0.0607/0.1134,0.0337/0.0764,0.0508/0.0467,,0.050841190674022804,0.050841190674022804,0.8278090472583013,2.580085939310824,[],"[0.15171575364521073, 0.03686983277054023, 0.04360908365129298, 0.0804789164218332, 0.01711134893866663, 0.06072043258995961, 0.16684343184569245, 0.03372984173535618, 0.14811649379964203, 0.08866314839692477, 0.08192389751617202, 0.06890466456505118, 0.11968092185069978, 0.009879241915936799, 0.08506388855135608, 0.009879241915936799, 0.009879241915936799, 0.06072043258995961, 0.04360908365129298, 0.1134009397803317, 0.07638680043428743, 0.04674907468647703]","[0.18135347939302113, 0.060720432589959614, 0.08721816730258596, 0.1142087581571894, 0.01711134893866663, 0.12818011606067198, 0.21623964142537644, 0.084571032409379, 0.19895768447366485, 0.17009418977111973, 0.15926282290282118, 0.10842163222879837, 0.14931864759851018, 0.03372984173535618, 0.13855221411858587, 0.07733892538664916, 0.06745968347071236, 0.1240880000731262, 0.08143104137419493, 0.1741213723702913, 0.11011664216964362, 0.09759026536049983]"
10%,"Wasserstein
 distance",sex,0.0005/0.0035,0.0005/0.0004,0.0005/0.0008,0.0006/0.0009,0.0/0.0001,0.0009/0.0012,-,0.0008/0.0024,0.0004/0.0006,0.0008/0.0018,0.0015/0.0015,0.0011/0.0018,0.0006/0.0012,0.0005/0.0024,0.0004/0.0001,0.0006/0.0014,0.0009/0.0001,0.0011/0.0001,0.0011/0.0012,0.0008/0.0005,0.0009/0.0015,0.0003/0.0017,0.0005/0.0006,,0.00045136509658459,0.00045136509658459,0.01336270680844076,0.04070335692639931,[],"[0.00345711164740752, 0.00044849015966366994, 0.00075035853636037, 0.00089985525624826, 0.00014949671988789, 0.0011988486960240502, 0.0024034472658899498, 0.0005994243480120199, 0.0018040229178779197, 0.00150215454118121, 0.00180402291787793, 0.00119884869602406, 0.00240344726588997, 0.00014949671988789, 0.00135122035283287, 0.00014949671988789, 0.00014949671988789, 0.0011988486960240502, 0.00045136509658459, 0.0015007170727207501, 0.00165165126106911, 0.00060086181647248]","[0.00390991421245257, 0.00089985525624827, 0.00120172363294496, 0.00149927960426028, 0.00014949671988789, 0.0021030163576537, 0.00315380580225032, 0.0010493519761361498, 0.0025543814542382994, 0.0030057465508228805, 0.00285624983093501, 0.00179971051249654, 0.0028548123624745603, 0.00059942434801202, 0.00195208216930535, 0.00105222691305708, 0.00120172363294497, 0.00225107560908113, 0.00120316110140543, 0.00240200979742948, 0.00195208216930535, 0.00105222691305707]"
10%,"Total variation
 distance",sex,0.0112/0.072,0.0092/0.0117,0.0146/0.0125,0.0128/0.026,0.0/0.005,0.0231/0.0202,-,0.0146/0.0687,0.0151/0.0118,0.015/0.0564,0.0288/0.0323,0.0235/0.0343,0.0126/0.0239,0.0095/0.0491,0.0094/0.0024,0.0166/0.0305,0.0206/0.002,0.0204/0.002,0.0209/0.0206,0.0152/0.0111,0.0196/0.0423,0.0083/0.0306,0.0125/0.013,,0.01308823529411764,0.01308823529411764,0.30229211427279606,1.4900926770736307,[],"[0.07195029332238459, 0.01168560606060603, 0.012501423436888339, 0.026028911564625827, 0.00499999999999999, 0.02023377350078245, 0.06874658961868083, 0.01183296378418328, 0.05639544307668777, 0.032256578947368386, 0.0343472652218782, 0.02391265597147946, 0.04907210607820358, 0.0024390243902439003, 0.03051148090815272, 0.00199999999999999, 0.00196078431372549, 0.02057932263814613, 0.011050696594427239, 0.04230871593119416, 0.030566862913336858, 0.013027259684361542]","[0.15508695774493336, 0.03255488559059981, 0.039596183845843624, 0.06484919842062692, 0.00999999999999998, 0.06354715494618543, 0.15204591816510055, 0.03872919763163661, 0.12783990576121868, 0.09328332739071271, 0.09222388162554654, 0.0603791259133688, 0.10768771975483465, 0.01427198817442718, 0.07763707184420854, 0.0245737833594976, 0.024343137254901913, 0.06205523083359205, 0.037290204377665656, 0.10418145625263218, 0.06939691653667293, 0.038519431649424826]"
10%,"Jensen-Shannon
 divergence",sex,0.0058/0.0298,0.0047/0.0073,0.0085/0.0087,0.0066/0.016,0.0/0.0034,0.0133/0.0121,-,0.0098/0.033,0.0101/0.0067,0.0101/0.0293,0.0161/0.0175,0.0154/0.0162,0.0078/0.0137,0.0059/0.0237,0.0047/0.002,0.0105/0.0169,0.0134/0.002,0.0114/0.002,0.0126/0.0121,0.0074/0.0087,0.0121/0.0225,0.0067/0.0151,0.0102/0.0094,,0.01019974214150263,0.01019974214150263,0.16415881208157157,0.5110724129843821,[],"[0.02978001795238851, 0.007286732062563561, 0.00872719394592985, 0.015954008673155513, 0.0034265582699529, 0.012095584334179899, 0.03295208335690551, 0.00665154286275883, 0.029317151940731683, 0.01754300188142396, 0.0161853544294592, 0.01366960273588573, 0.023722508987886193, 0.0019768714028033, 0.01690694150338401, 0.00201701588602336, 0.00202162893449435, 0.012061374233426032, 0.008694501305004751, 0.022451518370486274, 0.015105254557839263, 0.009371692253455192]","[0.03556739656366369, 0.012018635724298411, 0.01725201312078629, 0.0225728183577708, 0.0034265582699529, 0.025421247933386147, 0.04272726903913397, 0.01670320367249664, 0.039465954389750695, 0.033668715454127224, 0.03158363099680345, 0.021451587335202908, 0.029578849273134214, 0.00665154286275883, 0.027426566588828208, 0.015396172625971559, 0.013429897796021082, 0.0246164964482816, 0.01613262810735344, 0.0345437358975188, 0.021840480183347593, 0.01959701234379356]"
30%,"Hellinger
 distance",sex,0.1061/0.2933,0.0851/0.123,0.1116/0.1288,0.1534/0.1628,0.0099/0.0878,0.1445/0.1395,-,0.1229/0.3044,0.1336/0.1081,0.1274/0.2959,0.1409/0.185,0.1578/0.1995,0.1297/0.1508,0.093/0.2154,0.1094/0.0395,0.135/0.2137,0.1133/0.0706,0.1305/0.0692,0.1067/0.1484,0.1264/0.0918,0.1183/0.254,0.0607/0.1541,0.1248/0.1026,,0.12232805674390676,0.12232805674390676,1.8914023694501212,6.079134245676059,[],"[0.2932932327518125, 0.12304404544227485, 0.12881727877815308, 0.16278593381894482, 0.0878105747937354, 0.13950433907094759, 0.3043549574981432, 0.10810666999391776, 0.29592336326595364, 0.1850209445309804, 0.1995399546992807, 0.150763628692849, 0.21536076638464613, 0.039516967663747196, 0.21365739227421207, 0.07059967450589641, 0.0691546934115576, 0.14843145603452265, 0.09180313943210883, 0.2539873170303342, 0.15410272242637774, 0.10256957291203314]","[0.3994162320075454, 0.20810793399363092, 0.24037890204213552, 0.3161966974050008, 0.0976898167096722, 0.2840529190818027, 0.42724080377240126, 0.24171419452176846, 0.4232956609497679, 0.32590533130789257, 0.35734550269115484, 0.2804680990349896, 0.30836605961562313, 0.1488907248449073, 0.34861029890089756, 0.1839356808978539, 0.1996669821305559, 0.2551580783224758, 0.21822331216356136, 0.3722881911750694, 0.21482315501633734, 0.22735966909101468]"
30%,"Wasserstein
 distance",sex,0.0018/0.0129,0.0014/0.0022,0.0014/0.0018,0.0033/0.0023,0.0002/0.0017,0.0024/0.0026,-,0.0024/0.0105,0.0017/0.0018,0.0012/0.003,0.0021/0.0047,0.0018/0.0062,0.002/0.0032,0.0012/0.0047,0.0012/0.0006,0.0023/0.0054,0.0023/0.001,0.0023/0.0011,0.0017/0.0021,0.0021/0.0017,0.0017/0.0066,0.0006/0.003,0.0015/0.0008,,0.0013512203528328502,0.0013512203528328502,0.04114969088337282,0.11780772767704095,[],"[0.012922841459540091, 0.00224963814062068, 0.00180402291787793, 0.0022525130775416197, 0.00165021379260866, 0.00255006904885693, 0.010516519256729171, 0.00180114798095701, 0.00300862148774383, 0.0046602727488129795, 0.006159552353073321, 0.00315236833378989, 0.00465164793805022, 0.00060229928493294, 0.00540488141133154, 0.0010493519761361602, 0.00105078944459661, 0.0021015788891932596, 0.00165165126106912, 0.0066037301073556195, 0.00300143414544155, 0.00075179600482083]","[0.01472973931433894, 0.00360660836729539, 0.0031609931445526402, 0.005561565473521709, 0.00180114798095701, 0.00495782872012828, 0.012922841459540061, 0.00345567417894703, 0.00420890765222833, 0.006766164043387599, 0.00796070033403033, 0.00510876290847662, 0.00585480903945564, 0.00180402291787792, 0.007663144362715, 0.00330905239598007, 0.0033061774590591297, 0.0037561050871832997, 0.00376041749256468, 0.008256818836885189, 0.00360085849345357, 0.00225538801446251]"
30%,"Total variation
 distance",sex,0.0528/0.27,0.0375/0.0537,0.0481/0.0469,0.0814/0.081,0.0036/0.0388,0.0623/0.0584,-,0.0526/0.257,0.0576/0.0425,0.0398/0.1734,0.0591/0.1064,0.0582/0.1252,0.0616/0.0715,0.036/0.1099,0.0368/0.0135,0.0654/0.1282,0.0578/0.0231,0.0585/0.0216,0.0424/0.0606,0.0547/0.0416,0.0415/0.1724,0.02/0.0745,0.0507/0.0308,,0.04319245733912911,0.04319245733912911,1.0435944008727402,5.080042402204118,[],"[0.2699662383346094, 0.05371390168970809, 0.0468848530580279, 0.08095024170216837, 0.03884617682198323, 0.05843468758684909, 0.2569642890168706, 0.042484598734598665, 0.17337706786166646, 0.10643018962318178, 0.12517036873327955, 0.07146888841381499, 0.10988266123809032, 0.0134602826510721, 0.1282261532230322, 0.02309617682198325, 0.02161554621848735, 0.06059442066668226, 0.04160797213622288, 0.17235376625329593, 0.07448825197277205, 0.030787154308826097]","[0.5927128798360317, 0.1449154881084802, 0.14185589588818448, 0.24333189978312153, 0.08126378221539503, 0.1792018340378105, 0.5665529668421283, 0.14255287496666788, 0.38653979302320274, 0.2719773686318951, 0.3085659111882002, 0.2045289042755349, 0.25574930798957785, 0.06374424600740382, 0.32189944256199915, 0.10395386581927174, 0.10171522416858467, 0.1636349113363273, 0.13791274356752334, 0.38617009377820066, 0.16898966918451575, 0.11227329899406191]"
30%,"Jensen-Shannon
 divergence",sex,0.0208/0.0556,0.0167/0.0243,0.0219/0.0255,0.03/0.032,0.0019/0.0172,0.0284/0.0275,-,0.0242/0.0586,0.0262/0.0214,0.0253/0.0585,0.0277/0.0361,0.0314/0.0387,0.0254/0.0296,0.0182/0.0425,0.0217/0.0078,0.0265/0.0417,0.0223/0.0139,0.0257/0.0137,0.021/0.0293,0.0249/0.0182,0.0234/0.0494,0.012/0.0302,0.0246/0.0205,,0.02431731288809311,0.02431731288809311,0.37037569899714007,1.1920721893977693,[],"[0.05557305861177349, 0.024306169092498303, 0.025463061152505507, 0.03201020304549463, 0.017197636291787395, 0.027522433015861648, 0.05862935379550901, 0.021391515157790687, 0.05848226654034587, 0.03610323540862466, 0.03871400074169638, 0.02961448507313137, 0.04250165382249382, 0.007764063828592569, 0.04170170723752838, 0.013948396209679961, 0.013667674260937207, 0.029259071031755117, 0.018174813971902508, 0.04942299431278865, 0.030212149405263466, 0.02045683021013335]","[0.07638783772224836, 0.04102914869166041, 0.047314866766782634, 0.062028158247818946, 0.019130738484118174, 0.05590093190559288, 0.08283240519148478, 0.047587781550440696, 0.08378519863203521, 0.0638126656415077, 0.07013639446562348, 0.05497134824828056, 0.060651762524921674, 0.02942151307685866, 0.06817174424115588, 0.03621876667312108, 0.039322324686952036, 0.050243086283037544, 0.04308407787964033, 0.0728550823936332, 0.042167164486810606, 0.04501919160404433]"
50%,"Hellinger
 distance",sex,0.166/0.3912,0.1557/0.185,0.1589/0.1948,0.1773/0.2529,0.0296/0.1527,0.2006/0.1952,-,0.1601/0.4024,0.1623/0.1705,0.1919/0.3853,0.1929/0.2605,0.2131/0.2613,0.1818/0.2172,0.1075/0.3052,0.1555/0.0706,0.1818/0.2863,0.1897/0.145,0.1678/0.0872,0.1787/0.1955,0.1699/0.125,0.1814/0.3401,0.1603/0.2078,0.1674/0.1714,,0.19292773124980317,0.19292773124980317,2.6944913694355277,8.65335614498037,[],"[0.39124749497707095, 0.18503320346805302, 0.19475583222508155, 0.25291675078265785, 0.1526678785975725, 0.19521514868179785, 0.40241968052410754, 0.17051089698365174, 0.3852964021030872, 0.2605076056810296, 0.26130513045605525, 0.21716145095016212, 0.30524782517646837, 0.07059967450589641, 0.2863402031105221, 0.14497650276445798, 0.08721816730258596, 0.1954640516064353, 0.12497519163711372, 0.34005242186961687, 0.20780645887931581, 0.17140930408871013]","[0.557238353219574, 0.3406967665253055, 0.35365893766669043, 0.4302462718341922, 0.1823056043453829, 0.39585657990890544, 0.5625238614890473, 0.33276935669982133, 0.5771925875670672, 0.4534241213897619, 0.474361409008454, 0.3989428530967861, 0.412717332452905, 0.22611888334131325, 0.468141735772857, 0.3346724133005875, 0.2550025085595693, 0.3742050140670476, 0.29488278127047307, 0.5214394409478988, 0.36813436725322096, 0.33882496526350947]"
50%,"Wasserstein
 distance",sex,0.0026/0.023,0.0021/0.003,0.0015/0.0017,0.0024/0.0041,0.0005/0.0029,0.0035/0.0045,-,0.003/0.0182,0.0029/0.0022,0.0021/0.0051,0.003/0.0084,0.0023/0.0101,0.0023/0.0063,0.0015/0.0084,0.0017/0.0011,0.0027/0.0087,0.0035/0.001,0.0018/0.0015,0.0014/0.0035,0.0021/0.0027,0.0023/0.0099,0.0024/0.0032,0.0029/0.0021,,0.0021030163576537097,0.0021030163576537097,0.0678096996853039,0.1815048300969675,[],"[0.022986558151224197, 0.00299712174006016, 0.0016545261979900299, 0.00405509852695909, 0.0028519374255536497, 0.004505026155083241, 0.0181767886825233, 0.00224963814062067, 0.00510732544001621, 0.00841206543061496, 0.01006084175476318, 0.00631192400988214, 0.00841781530445679, 0.00105078944459661, 0.00870530899654891, 0.0010493519761361502, 0.00150215454118121, 0.00345854911586798, 0.0027010032372052997, 0.00990272022411253, 0.00315380580225036, 0.00210301635765371]","[0.025542377073922956, 0.00510301303463479, 0.0031595556760921698, 0.0064628581982304305, 0.0033047399905987, 0.00796357527095121, 0.021185410170267142, 0.00510732544001616, 0.00720890432920946, 0.01142068691835881, 0.0123205421746071, 0.00856731202434467, 0.00992140731409846, 0.00270244070566572, 0.0114178119814379, 0.00450790109200414, 0.0033076149275196, 0.00481264440562177, 0.0048083320002403895, 0.012159545707035509, 0.005560128005061241, 0.0049607036570492105]"
