Feature,Droped_Attrib,acc_,acc_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after
age,None,0.5729522642895878,0.3002538160651771,0.0,0.036500000000000005,0.17825,0.0845,0.73575,1.0565,0.083125,0.018250000000000002,0.0,0.69975,0.573,0.69975,1.0,0.0,0.573,0.0,0.71875,0.0
age,['balance'],0.5850222316347017,0.28865240034269973,0.0,0.00033333333333333365,0.20033333333333334,0.15966666666666665,0.722,1.04,0.09149999999999998,0.00016666666666666682,0.0,0.7113333333333333,0.5850000000000001,0.7113333333333333,1.0,0.0,0.5850000000000001,0.0,0.725,0.0
age,['default'],0.5862167073649442,0.3334352127273836,0.0,-0.015333333333333332,0.15366666666666665,0.09333333333333334,0.7756666666666666,0.9833333333333334,0.06883333333333334,-0.007666666666666666,0.0,0.6666666666666666,0.5863333333333334,0.6666666666666666,1.0,0.0,0.5863333333333334,0.0,0.7263333333333333,0.0
age,['duration'],0.40689560383729667,0.40829437315560857,0.0,-0.14366666666666666,0.243,0.14366666666666666,1.115,0.789,0.015833333333333328,-0.07183333333333333,0.0,0.5920000000000001,0.40700000000000003,0.5920000000000001,1.0,0.0,0.40700000000000003,0.0,0.572,0.0
age,['education'],0.5664560490689667,0.2980058512464583,0.0,0.11975,0.16825,0.11975,0.81025,1.19275,0.066375,0.059875,0.0,0.70175,0.5665,0.70175,1.0,0.0,0.5665,0.0,0.71225,0.0
age,['housing'],0.5120181585981395,0.36186197026726097,0.0,-0.05450000000000001,0.17325,0.0815,0.71525,0.923,0.06887499999999999,-0.027250000000000003,0.0,0.63825,0.512,0.63825,1.0,0.0,0.512,0.0,0.65575,0.0
age,['loan'],0.5548099106991011,0.3172917408701623,0.0,-0.01725,0.1385,0.04775,0.7905,0.97925,0.06325,-0.008625,0.0,0.683,0.555,0.683,1.0,0.0,0.555,0.0,0.70225,0.0
balance,None,0.5729522642895878,0.28884252173159675,0.0,0.03849999999999999,0.5,0.0625,0.25,1.0605,0.25,0.019249999999999996,0.0,0.7112499999999999,0.573,0.7112499999999999,1.0,0.0,0.573,0.0,0.71875,0.0
balance,['age'],0.5722812240287765,0.2810148551387324,0.0,0.094,0.5,0.1295,0.25,1.1665,0.25,0.047,0.0,0.71925,0.57225,0.71925,1.0,0.0,0.57225,0.0,0.7182499999999999,0.0
balance,['default'],0.5862167073649442,0.27522009692714633,0.0,0.014333333333333332,0.3333333333333333,0.027666666666666662,0.3333333333333333,1.0196666666666667,0.16666666666666666,0.007166666666666666,0.0,0.7246666666666667,0.5863333333333334,0.7246666666666667,1.0,0.0,0.5863333333333334,0.0,0.7263333333333333,0.0
balance,['duration'],0.40689560383729667,0.4056120839122543,0.0,-0.042333333333333334,0.6666666666666666,0.04633333333333334,0.0,0.9303333333333333,0.0,-0.021166666666666667,0.0,0.5943333333333333,0.40700000000000003,0.5943333333333333,1.0,0.0,0.40700000000000003,0.0,0.572,0.0
balance,['education'],0.5664560490689667,0.21918990639930944,0.0,-0.035750000000000004,0.5,0.037250000000000005,0.25,0.9560000000000001,0.25,-0.017875000000000002,0.0,0.781,0.5665,0.781,1.0,0.0,0.5665,0.0,0.71225,0.0
balance,['housing'],0.5120181585981395,0.4178513154474832,0.0,0.008749999999999997,0.5,0.03525,0.25,1.02525,0.25,0.004374999999999999,0.0,0.582,0.512,0.582,1.0,0.0,0.512,0.0,0.65575,0.0
balance,['loan'],0.5548099106991011,0.3255746559364401,0.0,-0.030250000000000006,0.5,0.07475,0.25,0.96375,0.25,-0.015125000000000003,0.0,0.67475,0.555,0.67475,1.0,0.0,0.555,0.0,0.70225,0.0
campaign,None,0.5729522642895878,0.3425995449921866,0.0,0.31525,0.5707500000000001,0.31525,0.0,3.19125,-0.28537500000000005,0.157625,0.0,0.65725,0.573,0.65725,1.0,0.0,0.573,0.0,0.71875,0.0
campaign,['age'],0.5835314767217618,0.34567999281228845,0.0,0.36433333333333334,0.5743333333333334,0.36433333333333334,0.0,3.774666666666667,-0.2871666666666667,0.18216666666666667,0.0,0.6543333333333333,0.5833333333333334,0.6543333333333333,1.0,0.0,0.5833333333333334,0.0,0.7243333333333334,0.0
campaign,['balance'],0.5850222316347017,0.3558350420192335,0.0,0.37000000000000005,0.578,0.37000000000000005,0.0,3.719,-0.289,0.18500000000000003,0.0,0.6443333333333333,0.5850000000000001,0.6443333333333333,1.0,0.0,0.5850000000000001,0.0,0.725,0.0
campaign,['default'],0.5862167073649442,0.3277722158581026,0.0,0.399,0.578,0.399,0.0,3.972,-0.289,0.1995,0.0,0.672,0.5863333333333334,0.672,1.0,0.0,0.5863333333333334,0.0,0.7263333333333333,0.0
campaign,['duration'],0.40689560383729667,0.4847694316894651,0.0,0.06666666666666667,0.4663333333333333,0.08933333333333333,0.0,1.192,-0.23316666666666666,0.03333333333333333,0.0,0.5153333333333333,0.40700000000000003,0.5153333333333333,1.0,0.0,0.40700000000000003,0.0,0.572,0.0
campaign,['education'],0.5664560490689667,0.3269277667074184,0.0,0.3195,0.5735,0.3195,0.0,3.26225,-0.28675,0.15975,0.0,0.67325,0.5665,0.67325,1.0,0.0,0.5665,0.0,0.71225,0.0
campaign,['housing'],0.5120181585981395,0.34504846089916985,0.0,0.27575,0.5115000000000001,0.27575,0.0,2.92725,-0.25575000000000003,0.137875,0.0,0.65475,0.512,0.65475,1.0,0.0,0.512,0.0,0.65575,0.0
campaign,['loan'],0.5548099106991011,0.4229751670982502,0.0,0.23374999999999999,0.55225,0.23374999999999999,0.0,2.6350000000000002,-0.276125,0.11687499999999999,0.0,0.577,0.555,0.577,1.0,0.0,0.555,0.0,0.70225,0.0
default,None,0.5729522642895878,0.43533827167624495,0.0,-0.14250000000000002,0.216,0.3195,1.46875,1.0122499999999999,-0.08600000000000001,-0.07125000000000001,0.0,0.5645,0.573,0.5645,1.0,0.0,0.573,0.0,0.71875,0.0
default,['age'],0.5722812240287765,0.44316293001928486,0.0,-0.2475,0.2145,0.45649999999999996,1.46675,1.1185,-0.08575,-0.12375,0.0,0.5567500000000001,0.57225,0.5567500000000001,1.0,0.0,0.57225,0.0,0.7182499999999999,0.0
default,['balance'],0.5850222316347017,0.4033276858456631,0.0,-0.011999999999999995,0.22166666666666668,0.25733333333333336,1.4213333333333333,1.216,-0.0805,-0.0059999999999999975,0.0,0.5966666666666667,0.5850000000000001,0.5966666666666667,1.0,0.0,0.5850000000000001,0.0,0.725,0.0
