Feature,Droped_Attrib,acc_,acc_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after
age,None,0.5729522642895878,0.4610654258237791,0.0,-0.027,0.17825,0.06999999999999999,0.73575,0.9595,0.083125,-0.0135,0.0,0.5389999999999999,0.573,0.5389999999999999,1.0,0.0,0.573,0.0,0.71875,0.0
age,['balance'],0.5850222316347017,0.5080912561274706,0.0,0.015333333333333336,0.20033333333333334,0.07666666666666667,0.722,1.0326666666666666,0.09149999999999998,0.007666666666666668,0.0,0.492,0.5850000000000001,0.492,1.0,0.0,0.5850000000000001,0.0,0.725,0.0
age,['default'],0.5862167073649442,0.4531662297350922,0.0,-0.06266666666666666,0.15366666666666665,0.07066666666666667,0.7756666666666666,0.891,0.06883333333333334,-0.03133333333333333,0.0,0.547,0.5863333333333334,0.547,1.0,0.0,0.5863333333333334,0.0,0.7263333333333333,0.0
age,['duration'],0.40689560383729667,0.5874357838937502,0.0,-0.121,0.243,0.121,1.115,0.7613333333333333,0.015833333333333328,-0.0605,0.0,0.4126666666666667,0.40700000000000003,0.4126666666666667,1.0,0.0,0.40700000000000003,0.0,0.572,0.0
age,['education'],0.5664560490689667,0.43865175858273725,0.0,-0.08775,0.16825,0.08975,0.81025,0.86375,0.066375,-0.043875,0.0,0.56125,0.5665,0.56125,1.0,0.0,0.5665,0.0,0.71225,0.0
age,['housing'],0.5120181585981395,0.5535498551226885,0.0,0.027250000000000003,0.17325,0.06525,0.71525,1.0692499999999998,0.06887499999999999,0.013625000000000002,0.0,0.44625000000000004,0.512,0.44625000000000004,1.0,0.0,0.512,0.0,0.65575,0.0
age,['loan'],0.5548099106991011,0.45681998312171296,0.0,-0.025750000000000002,0.1385,0.057249999999999995,0.7905,0.96075,0.06325,-0.012875000000000001,0.0,0.54325,0.555,0.54325,1.0,0.0,0.555,0.0,0.70225,0.0
balance,None,0.5729522642895878,0.30923905719043904,0.0,-0.07225000000000001,0.5,0.07375000000000001,0.25,0.902,0.25,-0.036125000000000004,0.0,0.69075,0.573,0.69075,1.0,0.0,0.573,0.0,0.71875,0.0
balance,['age'],0.5722812240287765,0.36725977320202924,0.0,-0.054,0.5,0.0565,0.25,0.9135,0.25,-0.027,0.0,0.633,0.57225,0.633,1.0,0.0,0.57225,0.0,0.7182499999999999,0.0
balance,['default'],0.5862167073649442,0.35760817131568273,0.0,-0.07666666666666666,0.3333333333333333,0.08733333333333333,0.3333333333333333,0.8933333333333332,0.16666666666666666,-0.03833333333333333,0.0,0.6423333333333333,0.5863333333333334,0.6423333333333333,1.0,0.0,0.5863333333333334,0.0,0.7263333333333333,0.0
balance,['duration'],0.40689560383729667,0.41907460352604314,0.0,-0.10466666666666667,0.6666666666666666,0.10466666666666667,0.0,0.8330000000000001,0.0,-0.052333333333333336,0.0,0.5810000000000001,0.40700000000000003,0.5810000000000001,1.0,0.0,0.40700000000000003,0.0,0.572,0.0
balance,['education'],0.5664560490689667,0.3847407129311423,0.0,-0.0635,0.5,0.065,0.25,0.893,0.25,-0.03175,0.0,0.61525,0.5665,0.61525,1.0,0.0,0.5665,0.0,0.71225,0.0
balance,['housing'],0.5120181585981395,0.45704640405849,0.0,-0.056999999999999995,0.5,0.084,0.25,0.9065,0.25,-0.028499999999999998,0.0,0.543,0.512,0.543,1.0,0.0,0.512,0.0,0.65575,0.0
balance,['loan'],0.5548099106991011,0.34057017966070147,0.0,-0.0635,0.5,0.07200000000000001,0.25,0.9135,0.25,-0.03175,0.0,0.65925,0.555,0.65925,1.0,0.0,0.555,0.0,0.70225,0.0
campaign,None,0.5729522642895878,0.3414764650577744,0.0,-0.15975,0.5707500000000001,0.19125,0.0,0.8355,-0.28537500000000005,-0.079875,0.0,0.6585,0.573,0.6585,1.0,0.0,0.573,0.0,0.71875,0.0
campaign,['age'],0.5835314767217618,0.37016046138262904,0.0,-0.10066666666666667,0.5743333333333334,0.15266666666666667,0.0,0.8930000000000001,-0.2871666666666667,-0.050333333333333334,0.0,0.6296666666666667,0.5833333333333334,0.6296666666666667,1.0,0.0,0.5833333333333334,0.0,0.7243333333333334,0.0
campaign,['balance'],0.5850222316347017,0.34805530687357006,0.0,-0.121,0.578,0.161,0.0,0.8733333333333334,-0.289,-0.0605,0.0,0.652,0.5850000000000001,0.652,1.0,0.0,0.5850000000000001,0.0,0.725,0.0
campaign,['default'],0.5862167073649442,0.34359454033407877,0.0,-0.09999999999999999,0.578,0.14266666666666666,0.0,0.8936666666666667,-0.289,-0.049999999999999996,0.0,0.6563333333333333,0.5863333333333334,0.6563333333333333,1.0,0.0,0.5863333333333334,0.0,0.7263333333333333,0.0
campaign,['duration'],0.40689560383729667,0.46474892745866264,0.0,-0.135,0.4663333333333333,0.21433333333333335,0.0,0.8973333333333334,-0.23316666666666666,-0.0675,0.0,0.535,0.40700000000000003,0.535,1.0,0.0,0.40700000000000003,0.0,0.572,0.0
campaign,['education'],0.5664560490689667,0.37148475980529,0.0,-0.21025,0.5735,0.23625000000000002,0.0,0.78025,-0.28675,-0.105125,0.0,0.6285000000000001,0.5665,0.6285000000000001,1.0,0.0,0.5665,0.0,0.71225,0.0
campaign,['housing'],0.5120181585981395,0.4015056892020677,0.0,-0.03899999999999999,0.5115000000000001,0.049,0.0,0.94275,-0.25575000000000003,-0.019499999999999997,0.0,0.5985,0.512,0.5985,1.0,0.0,0.512,0.0,0.65575,0.0
