"Swap 
 Percentage",Measurement,Feature,age,campaign,loan,housing,balance,default,job,duration,education,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
10%,"Hellinger
 distance",age,-,-,-,-,-,-,-,-,0.0675/0.1448,,0.09818267285164928,0.09818267285164928,0.17056644465313534,0.21222722707368447,[],[0.14476754360297212],[0.21222722707368447]
10%,"Wasserstein
 distance",age,-,-,-,-,-,-,-,-,0.0001/0.0002,,0.00022501104886524004,0.00022501104886524004,0.00032343213330927504,0.00030934139719194,[],[0.00019684216888807],[0.00030934139719194]
10%,"Total variation
 distance",age,-,-,-,-,-,-,-,-,0.0026/0.006,,0.0045772561376232306,0.0045772561376232306,0.0075524858625322456,0.01449646238501005,[],[0.00595045944981803],[0.01449646238501005]
10%,"Jensen-Shannon
 divergence",age,-,-,-,-,-,-,-,-,0.0042/0.009,,0.00609276678421721,0.00609276678421721,0.010597798819271195,0.01318075234112312,[],[0.00901006407010797],[0.01318075234112312]
30%,"Hellinger
 distance",age,-,-,-,-,-,-,-,-,0.1552/0.2531,,0.1769634846383016,0.1769634846383016,0.3035295374492475,0.4083380870038459,[],[0.25313210562189176],[0.4083380870038459]
30%,"Wasserstein
 distance",age,-,-,-,-,-,-,-,-,0.0004/0.0003,,0.0003796943397187,0.0003796943397187,0.0005062780080111399,0.0006749701853083099,[],[0.00025316733658488],[0.0006749701853083099]
30%,"Total variation
 distance",age,-,-,-,-,-,-,-,-,0.0076/0.0132,,0.00862807889578535,0.00862807889578535,0.01525193368236602,0.03406554268440424,[],[0.013247709573161343],[0.03406554268440424]
30%,"Jensen-Shannon
 divergence",age,-,-,-,-,-,-,-,-,0.0098/0.0158,,0.01097531423377,0.01097531423377,0.018866897951429797,0.025558640721146223,[],[0.015783167435319594],[0.025558640721146223]
50%,"Hellinger
 distance",age,-,-,-,-,-,-,-,-,0.2232/0.338,,0.21264038157980777,0.21264038157980777,0.3816187211838166,0.5611414003294335,[],[0.3379566792080177],[0.5611414003294335]
50%,"Wasserstein
 distance",age,-,-,-,-,-,-,-,-,0.0006/0.0004,,0.00047801468610295003,0.00047801468610295003,0.000674913520149695,0.0009984023186176399,[],[0.00039379766809348997],[0.0009984023186176399]
50%,"Total variation
 distance",age,-,-,-,-,-,-,-,-,0.0125/0.023,,0.01142539327684906,0.01142539327684906,0.022910207896674854,0.058429417759668506,[],[0.022969629239651592],[0.058429417759668506]
50%,"Jensen-Shannon
 divergence",age,-,-,-,-,-,-,-,-,0.014/0.0211,,0.013308205694189529,0.013308205694189529,0.023849456537637075,0.035036266749788644,[],[0.021082501686895093],[0.035036266749788644]
70%,"Hellinger
 distance",age,-,-,-,-,-,-,-,-,0.2477/0.3861,,0.2763824566562255,0.2763824566562255,0.4694441357483478,0.6338111240985836,[],[0.3861233581842446],[0.6338111240985836]
70%,"Wasserstein
 distance",age,-,-,-,-,-,-,-,-,0.0006/0.0007,,0.0006889601833658399,0.0006889601833658399,0.0010264263876337948,0.00132170852935217,[],[0.00067493240853591],[0.00132170852935217]
70%,"Total variation
 distance",age,-,-,-,-,-,-,-,-,0.0145/0.0307,,0.01767173538054679,0.01767173538054679,0.03299929041708925,0.07579312536929807,[],[0.03065511007308493],[0.07579312536929807]
