Features,Droped_Attrib,Baseline,FPRD,FPRD_after,FPRD_diff,SPD,SPD_after,SPD_Diff,DIR,DIR_after,DIR_diff,AOD,AOD_after,AOD_diff,FPR,FPR_after,FPR_diff,SP,SP_after,SP_diff,acc_,acc_after,acc_diff,Pre,Pre_after,Pre_diff,Re,Re_after,Re_diff,F1,F1_after,F1_diff,Rank1,Rank2,Ranking,Ranking2_after,Ranking_before,p_value,delta
age,None,LRTD,0.1459,0.1719,0.026,0.3098,0.1739,-0.1359,2.2357,1.2971,-0.9386,0.0227,0.1581,0.1355,0.1236,0.3745,0.2509,0.4377,0.6065,0.1688,84.17,71.99,-0.1218,85.32,70.16,-0.1516,80.16,85.62,0.0546,81.96,74.87,-0.0709,0.32376939673820143,0.07610673565946621,4.25,299.67,328.66,0.7527138062630524,0.09
age,['ca'],LRTD,0.2637,0.169,-0.0947,0.3679,0.1517,-0.2162,2.5647,1.2426,-1.3221,0.0624,0.1625,0.1001,0.1536,0.3969,0.2433,0.4408,0.603,0.1622,81.14,68.97,-0.1217,80.95,66.89,-0.1406,76.86,81.95,0.0509,78.32,71.35,-0.0697,0.2697342709827586,0.0681291924588406,3.96,286.27,313.54,0.5286121252556877,0.19
age,['oldpeak'],LRTD,0.1647,0.1499,-0.0148,0.3228,0.1953,-0.1275,2.4844,1.3147,-1.1697,0.0276,0.1429,0.1153,0.1236,0.3494,0.2258,0.431,0.5828,0.1518,83.48,72.32,-0.1116,85.35,71.94,-0.1341,78.77,83.38,0.0461,81.21,74.58,-0.0663,0.3235371567826427,0.06130158914385383,5.28,299.35,325.55,0.4622499461255427,0.22
age,['restecg'],LRTD,0.1647,0.1531,-0.0116,0.3293,0.1532,-0.1761,2.368,1.2218,-1.1462,0.0154,0.1523,0.1369,0.1242,0.3735,0.2493,0.4345,0.5965,0.162,83.83,70.99,-0.1284,85.29,69.72,-0.1557,79.5,83.58,0.0408,81.65,73.61,-0.0804,0.3044981074385214,0.06135684026271305,4.96,295.08,327.19,0.40081416938293446,0.25
age,['thal'],LRTD,0.1303,0.0758,-0.0545,0.3196,0.2306,-0.089,2.449,1.3721,-1.0769,-0.0289,0.0677,0.0966,0.1241,0.1736,0.0495,0.4108,0.4136,0.0028,81.45,75.75,-0.057,84.97,76.85,-0.0812,75.05,69.14,-0.0591,78.82,72.08,-0.0674,0.2901043139706666,0.01199820654895058,24.18,291.56,317.15,0.4622499461255427,0.22
ca,None,LRTD,-0.1582,-0.0005,0.1577,0.5182,0.2888,-0.2294,0.4317,0.7604,0.3287,0.0474,-0.0034,-0.0508,0.1236,0.2492,0.1256,0.4377,0.4736,0.0359,84.17,73.76,-0.1041,85.32,72.33,-0.1299,80.16,72.53,-0.0763,81.96,71.02,-0.1094,0.27480814286480065,0.0012291884527994394,223.57,288.33,329.86,0.40081416938293446,0.25
ca,['age'],LRTD,-0.1656,0.0479,0.2135,0.523,0.3124,-0.2106,0.4263,0.8435,0.4172,0.0437,0.017,-0.0268,0.1179,0.2918,0.1739,0.4343,0.5005,0.0662,84.51,71.76,-0.1275,85.98,69.03,-0.1695,80.16,73.48,-0.0668,82.31,69.99,-0.1232,0.2547517035438745,0.003720604630838173,68.47,282.66,331.18,0.5995101785600032,0.16
ca,['oldpeak'],LRTD,-0.2644,0.0516,0.316,0.5263,0.3562,-0.1701,0.4236,0.563,0.1394,-0.0178,0.0375,0.0553,0.1236,0.2829,0.1593,0.431,0.5211,0.0901,83.48,74.43,-0.0906,85.35,70.17,-0.1518,78.77,78.77,0.0,81.21,73.29,-0.0792,0.3014932294994224,0.0048167387816821,62.59,295.18,326.7,0.563523716477718,0.17
ca,['restecg'],LRTD,-0.2638,-0.0629,0.2009,0.5517,0.3184,-0.2333,0.3933,0.7348,0.3415,0.0002,-0.0429,-0.0431,0.1242,0.1908,0.0666,0.4345,0.4405,0.006,83.83,76.44,-0.0739,85.29,77.2,-0.0809,79.5,72.05,-0.0745,81.65,73.3,-0.0835,0.3116431983563218,0.0018338482396440012,169.94,297.53,328.14,0.40081416938293446,0.25
ca,['thal'],LRTD,-0.2656,0.1898,0.4554,0.5832,0.2404,-0.3428,0.3552,1.06,0.7048,0.0335,-0.0402,-0.0737,0.1241,0.373,0.2489,0.4108,0.5579,0.1471,81.45,68.06,-0.1339,84.97,63.96,-0.2101,75.05,76.16,0.0111,78.82,68.41,-0.1041,0.22679359713518346,0.007732852417346456,29.33,274.56,318.13,0.8336348830246822,0.06
chol,None,LRTD,0.1,0.0473,-0.0527,0.35,0.1303,-0.2197,0.0,1.0548,1.0548,0.1,0.0006,-0.0994,0.1236,0.474,0.3504,0.4377,0.7033,0.2656,84.17,71.76,-0.1241,85.32,64.06,-0.2126,80.16,95.73,0.1557,81.96,75.9,-0.0606,0.33400337208138625,0.0022905710159068665,145.82,305.74,330.94,0.9163591402734885,-0.03
chol,['age'],LRTD,0.1,0.219,0.119,0.35,0.1299,-0.2201,0.0,1.2131,1.2131,0.1,0.0861,-0.014,0.1179,0.4871,0.3692,0.4343,0.7028,0.2685,84.51,70.43,-0.1408,85.98,62.88,-0.231,80.16,94.43,0.1427,82.31,74.58,-0.0773,0.3118699491447062,0.0327968146105546,9.51,299.75,332.29,0.7527138062630524,-0.09
chol,['ca'],LRTD,0.2,0.0256,-0.1744,0.2,0.1714,-0.0286,0.1,1.0358,0.9358,0.2,0.0093,-0.1907,0.1536,0.5136,0.36,0.4408,0.72,0.2792,81.14,69.38,-0.1176,80.95,61.61,-0.1934,76.86,95.11,0.1825,78.32,74.02,-0.043,0.3009237392701048,0.0032033234785559294,93.94,298.32,315.91,0.7527138062630524,0.09
chol,['oldpeak'],LRTD,0.1,0.037,-0.063,0.35,0.1503,-0.1997,0.0,1.0363,1.0363,0.1,0.015,-0.085,0.1236,0.4692,0.3456,0.431,0.6936,0.2626,83.48,71.4,-0.1208,85.35,64.06,-0.2129,78.77,94.25,0.1548,81.21,75.38,-0.0583,0.32496502429733326,0.003530928305056516,92.03,303.31,328.14,0.9163591402734885,-0.03
chol,['restecg'],LRTD,0.1,0.1226,0.0226,0.35,0.1169,-0.2331,0.0,1.0708,1.0708,0.1,0.0537,-0.0463,0.1242,0.4341,0.3099,0.4345,0.6765,0.242,83.83,73.09,-0.1074,85.29,65.7,-0.1959,79.5,94.3,0.148,81.65,76.5,-0.0515,0.3464240780327586,0.01116106918989191,31.04,307.53,329.59,0.7527138062630524,-0.09
chol,['thal'],LRTD,0.1,0.0109,-0.0891,0.3,0.1463,-0.1537,0.0,1.048,1.048,0.15,-0.0109,-0.1609,0.1241,0.4211,0.297,0.4108,0.6628,0.252,81.45,73.76,-0.0769,84.97,65.68,-0.1929,75.05,93.33,0.1828,78.82,76.5,-0.0232,0.3458825337835862,0.0019328496112542095,178.95,307.6,319.61,1.0,0.0
cp,None,LRTD,0.1054,-0.1361,-0.2415,0.4744,0.1928,-0.2816,1.8188,1.2863,-0.5325,-0.3434,-0.2463,0.097,0.1236,0.5187,0.3951,0.4377,0.7137,0.276,84.17,67.37,-0.168,85.32,61.11,-0.2421,80.16,92.21,0.1205,81.96,72.33,-0.0963,0.2745751563694831,0.01600957920677862,17.15,290.17,327.72,0.5995101785600032,0.16
cp,['age'],LRTD,0.0943,-0.1116,-0.2059,0.469,0.1232,-0.3458,1.8188,1.1112,-0.7076,-0.3489,-0.2128,0.1361,0.1179,0.5775,0.4596,0.4343,0.7398,0.3055,84.51,65.38,-0.1913,85.98,58.46,-0.2752,80.16,93.14,0.1298,82.31,71.19,-0.1112,0.2534278695330538,0.011121435010303998,22.79,285.62,329.06,0.5995101785600032,0.16
cp,['ca'],LRTD,0.1544,-0.0228,-0.1772,0.4844,0.2183,-0.2661,2.0456,1.4975,-0.5481,-0.3013,-0.1994,0.1019,0.1536,0.5396,0.386,0.4408,0.73,0.2892,81.14,67.03,-0.141,80.95,60.11,-0.2084,76.86,93.53,0.1667,78.32,72.2,-0.0612,0.2721028700363586,0.021588188935576194,12.6,289.84,313.22,0.5995101785600032,0.16
cp,['oldpeak'],LRTD,0.106,-0.1396,-0.2456,0.4878,0.2411,-0.2467,1.5058,1.2939,-0.2119,-0.3566,-0.2188,0.1379,0.1236,0.5069,0.3833,0.431,0.7073,0.2763,83.48,68.01,-0.1547,85.35,61.92,-0.2343,78.77,92.36,0.1359,81.21,72.93,-0.0828,0.2836634640626979,0.013354406790260275,21.24,292.44,325.16,0.5995101785600032,0.16
cp,['restecg'],LRTD,0.1031,-0.2166,-0.3197,0.4698,0.2042,-0.2656,1.787,1.1979,-0.5891,-0.3412,-0.272,0.0693,0.1242,0.4865,0.3623,0.4345,0.7005,0.266,83.83,69.38,-0.1445,85.29,62.73,-0.2256,79.5,92.87,0.1337,81.65,73.75,-0.079,0.2980867940736207,0.012062018385273363,24.71,295.97,326.42,0.5995101785600032,0.16
cp,['thal'],LRTD,0.102,-0.0758,-0.1778,0.4365,0.2517,-0.1848,1.7819,1.163,-0.6189,-0.3171,-0.2002,0.1169,0.1241,0.3872,0.2631,0.4108,0.6088,0.198,81.45,72.44,-0.0901,84.97,66.02,-0.1895,75.05,86.67,0.1162,78.82,74.26,-0.0456,0.30779276543312284,0.012456512464260475,24.71,296.86,316.58,0.5995101785600032,0.16
exang,None,LRTD,-0.2322,-0.1327,0.0995,0.5658,0.3649,-0.2009,0.3101,0.5917,0.2816,0.0413,0.0009,-0.0405,0.1236,0.4085,0.2849,0.4377,0.6324,0.1947,84.17,72.07,-0.121,85.32,65.05,-0.2027,80.16,88.63,0.0847,81.96,74.31,-0.0765,0.308761825332362,0.007377716405485439,41.85,298.16,329.64,0.7527138062630524,0.09
