"Swap 
 Percentage",Measurement,Feature,sex,age,restecg,thal,exang,cp,chol,thalach,trestbps,fbs,ca,oldpeak,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
50%,Hellinger distance,sex,-,0.16,0.26,0.36,0.24,0.33999999999999997,0.27,0.3,0.29000000000000004,0.11,0.39,0.21000000000000002,,0.0760718381994068,0.0760718381994068,0.9537707797683199,2.9296678640341045,[],"[0.0760718381994068, 0.172350213500001, 0.19386864066109402, 0.119745855239074, 0.21603819051426928, 0.20939065428358622, 0.20588986751165256, 0.1995561675939811, 0.019758483831873598, 0.20907569204870557, 0.13365227975418237]","[0.15799573571557882, 0.2668004878253168, 0.3625066337968041, 0.24271107470046185, 0.3357840457533433, 0.2732510779087299, 0.29544020747256483, 0.2864593726616864, 0.11251374821634416, 0.3852142748424426, 0.21099120514083153]"
50%,Wasserstein distance,sex,-,0.0,0.02,0.03,0.01,0.04,0.03,0.02,0.03,0.0,0.03,0.01,,0.00368071234482608,0.00368071234482608,0.09190955237521609,0.23608882858847705,[],"[0.00368071234482608, 0.017916408619668152, 0.02118213869032268, 0.0058277945459746195, 0.026955805113579284, 0.025368046847183724, 0.02168733450235763, 0.02002740540567135, 0.00209295407843052, 0.024285484392823103, 0.00743359551994287]","[0.00683818617004453, 0.022120359484101862, 0.0295900404191901, 0.01057302663758863, 0.03493068186070246, 0.028020324860367214, 0.02433961251554113, 0.02636039576368093, 0.00682014346247186, 0.034317229803231444, 0.01217882761155689]"
50%,Total variation distance,sex,-,0.13,0.29,0.36,0.21000000000000002,0.41,0.33,0.31,0.32999999999999996,0.11,0.43000000000000005,0.21,,0.06683473389355739,0.06683473389355739,1.0871429069632896,5.151151745104328,[],"[0.06683473389355739, 0.21118154884331347, 0.19724113313586994, 0.10455599955599952, 0.2866527102068898, 0.2760417710944026, 0.2521811414233005, 0.24423387070445896, 0.02, 0.2666372189901602, 0.11505621829151233]","[0.19771696827424373, 0.5025311649135176, 0.552823434907026, 0.31762688463926847, 0.6978974950058543, 0.6060611332252197, 0.5692687489295376, 0.5742966184142655, 0.12679292929292926, 0.6894654893610002, 0.3166708781414662]"
50%,Jensen-Shannon divergence,sex,-,0.06,0.1,0.13,0.1,0.12,0.09000000000000001,0.1,0.1,0.04,0.14,0.08,,0.028949997351666052,0.028949997351666052,0.3472397896012434,1.080593162604207,[],"[0.028949997351666052, 0.06189749540372658, 0.07164453970748776, 0.045121807310145354, 0.07597211202180046, 0.07401088105856082, 0.07476454368748722, 0.0723089312772576, 0.00728093836140928, 0.07444674492072789, 0.05018159339888569]","[0.05995185345653807, 0.0974804792988213, 0.13586394536814556, 0.09181311925436537, 0.12027761296329158, 0.09822960431759929, 0.10936484952888072, 0.1048636667232968, 0.04196771439410722, 0.14176392796814724, 0.07901638933101374]"
50%,Hellinger distance,age,-,-,-,0.39999999999999997,0.21000000000000002,0.19,0.21,0.23,0.25,0.05,0.24000000000000002,0.15000000000000002,,0.0592754514956208,0.0592754514956208,0.671133517527692,1.928686375956524,[],"[0.28920802100822984, 0.11164099645111222, 0.12472516279060727, 0.153410763586056, 0.16876216919550316, 0.1683678337734927, 0.0296377257478104, 0.10093949635956212, 0.07702396315176853]","[0.40172176922457403, 0.20848837682312854, 0.19532483729650368, 0.2126862150816768, 0.22634261075027873, 0.2457067591601419, 0.049396209579684, 0.2404438354305097, 0.1485757626100267]"
50%,Wasserstein distance,age,-,-,-,0.060000000000000005,0.01,0.01,0.01,0.01,0.01,0.0,0.02,0.0,,0.00317551653279112,0.00317551653279112,0.06080392451992114,0.14697589588702595,[],"[0.045882605357317405, 0.00849811526673081, 0.01111430786476897, 0.01270206613116453, 0.01118647869505968, 0.01163754638437659, 0.00261619259803815, 0.006874271585189889, 0.00474523209161402]","[0.05169235719571935, 0.01270206613116452, 0.01484914833231308, 0.01587758266395565, 0.01275619425388257, 0.01640082118356328, 0.00366266963725341, 0.012702066131164518, 0.00633299035800958]"
50%,Total variation distance,age,-,-,-,0.59,0.19,0.23,0.25,0.24,0.29,0.04,0.21000000000000002,0.13,,0.04935897435897431,0.04935897435897431,0.8564565819606874,3.775780110150987,[],"[0.497759360036921, 0.11422019157313272, 0.16955827626106257, 0.20004779534191294, 0.20999795526111315, 0.20521756021756019, 0.028333333333333332, 0.1104826546003016, 0.07857808857808858]","[1.087601082156204, 0.30418463889052116, 0.4000130171685898, 0.4503369179839767, 0.45401679160193087, 0.48568043068043054, 0.0710207336523126, 0.31760182269234616, 0.2053246753246753]"
50%,Jensen-Shannon divergence,age,-,-,-,0.13,0.08,0.07,0.08,0.08,0.09,0.02,0.09,0.06,,0.02223904152504857,0.02223904152504857,0.24057345192867485,0.7044254651230262,[],"[0.09390685034088424, 0.041171214297279386, 0.04497645920549919, 0.055654852186842796, 0.061891231988872676, 0.061823663580751156, 0.01093645502253174, 0.03738823784352992, 0.02891985634106145]","[0.13643701409555375, 0.0777830100349742, 0.07154877791427677, 0.07779824707650317, 0.08407034880028152, 0.09055739750832795, 0.018428300066653858, 0.09159235110529515, 0.056210018521159824]"
50%,Hellinger distance,restecg,-,0.11,-,0.28,0.16,0.14,-,-,0.27,0.09,0.13,0.18,,0.04360908365129298,0.04360908365129298,0.44723820896137256,1.375162050370922,[],"[0.0296377257478104, 0.15869381783139905, 0.07324680939910337, 0.11156162326398242, 0.2353384838112956, 0.05348832556722978, 0.04360908365129298, 0.10168238134804561]","[0.10602452618209783, 0.2827818179045252, 0.16455709268923513, 0.1452914649993386, 0.2690683255466518, 0.09300529323097698, 0.13227223204821775, 0.18216129776987883]"
50%,Wasserstein distance,restecg,-,0.0,-,0.02,0.0,0.01,-,-,0.03,0.0,0.01,0.01,,0.00160580097396823,0.00160580097396823,0.03247687363081837,0.0918915096676433,[],"[0.00158775826639556, 0.00945437876808269, 0.00422199357200638, 0.0079568340395505, 0.027442958218041564, 0.00315747382521845, 0.00263423530561082, 0.0052865133187943196]","[0.00633299035800957, 0.01735708468491515, 0.00793879133197781, 0.00902135378633843, 0.028489435257256824, 0.00526847061122164, 0.00797487674712317, 0.0095085068908007]"
