Features,Droped_Attrib,Baseline,FPRD,FPRD_after,FPRD_diff,SPD,SPD_after,SPD_Diff,DIR,DIR_after,DIR_diff,AOD,AOD_after,AOD_diff,FPR,FPR_after,FPR_diff,SP,SP_after,SP_diff,acc_,acc_after,acc_diff,Pre,Pre_after,Pre_diff,Re,Re_after,Re_diff,F1,F1_after,F1_diff,Rank1,Rank2,Ranking,Ranking2_after,Ranking_before,p_value,delta
age,None,LRTD,-0.0126,-0.0503,-0.0377,0.4332,0.0857,-0.3475,0.489,0.8787,0.3897,0.0332,0.0069,-0.0263,0.5082,0.5238,0.0156,0.6116,0.5899,-0.0217,60.35,56.74,-0.0362,62.55,60.06,-0.0249,69.63,64.38,-0.0525,65.81,61.93,-0.0388,0.13586349282536508,0.0025733819270880014,52.8,241.41,256.83,0.8336348830246822,0.06
age,['c_charge_degree'],LRTD,-0.0472,0.0037,0.0509,0.4565,0.05,-0.4065,0.4695,0.9292,0.4597,0.0156,0.0277,0.012,0.4916,0.594,0.1024,0.601,0.6559,0.0549,60.78,57.11,-0.0367,63.13,59.2,-0.0393,69.05,70.67,0.0162,65.89,64.4,-0.0149,0.15387234903239008,0.0015625546886940424,98.47,249.76,257.23,0.7527138062630524,-0.09
age,['priors_count'],LRTD,-0.0314,-0.1069,-0.0755,0.4642,0.1197,-0.3445,0.4679,0.8371,0.3692,0.0268,-0.0058,-0.0326,0.5162,0.5592,0.043,0.6183,0.6305,0.0122,60.26,57.69,-0.0256,62.36,60.04,-0.0232,70.13,68.96,-0.0117,65.94,64.13,-0.0181,0.153188343276344,0.005251776298261201,29.17,248.89,257.09,1.0,0.0
age,['race'],LRTD,-0.021,0.0294,0.0504,0.4403,0.0415,-0.3988,0.4819,0.9598,0.4779,0.0321,0.0305,-0.0016,0.5034,0.6078,0.1044,0.6043,0.6731,0.0688,60.05,57.53,-0.0252,62.46,59.3,-0.0316,68.67,72.57,0.039,65.34,65.24,-0.001,0.16150745060587357,0.0034855375392201923,46.34,252.82,254.98,0.8336348830246822,-0.06
age,['sex'],LRTD,-0.0096,-0.0254,-0.0158,0.4439,0.0638,-0.3801,0.4975,0.9189,0.4214,0.0095,0.0167,0.0072,0.5199,0.6648,0.1449,0.6142,0.7235,0.1093,59.54,57.44,-0.0209,61.85,58.57,-0.0328,69.08,77.12,0.0804,65.21,66.55,0.0134,0.17267572819998006,0.0022178117164539605,77.86,257.92,254.17,0.7527138062630524,-0.09
c_charge_degree,None,LRTD,-0.4457,-0.0536,0.3921,0.4074,0.0578,-0.3496,0.5345,0.9242,0.3897,-0.0475,-0.0069,0.0405,0.5082,0.6544,0.1462,0.6116,0.7199,0.1083,60.35,58.07,-0.0229,62.55,59.04,-0.0351,69.63,77.38,0.0775,65.81,66.96,0.0115,0.17763227056648848,0.0026998310660944,65.79,259.6,255.16,0.6744240722352938,-0.12
c_charge_degree,['age'],LRTD,-0.4787,-0.0551,0.4236,0.4283,0.0554,-0.3729,0.5717,0.921,0.3493,-0.0495,-0.0091,0.0404,0.6629,0.594,-0.0689,0.7221,0.6559,-0.0662,57.46,57.11,-0.0035,58.69,59.2,0.0051,77.1,70.67,-0.0643,66.41,64.4,-0.0201,0.15387234903239008,0.002476558710081226,62.13,249.6,256.13,0.7527138062630524,-0.09
c_charge_degree,['priors_count'],LRTD,-0.4578,-0.0666,0.3912,0.4261,0.0835,-0.3426,0.5235,0.8666,0.3431,-0.042,0.0002,0.0422,0.5162,0.465,-0.0512,0.6183,0.5477,-0.0706,60.26,57.86,-0.024,62.36,61.7,-0.0066,70.13,61.51,-0.0862,65.94,61.54,-0.044,0.1351346006486921,0.00272230171569216,49.64,240.93,255.43,1.0,0.0
c_charge_degree,['race'],LRTD,-0.4545,-0.038,0.4165,0.4103,0.0538,-0.3565,0.5287,0.9175,0.3888,-0.0524,0.0021,0.0545,0.5034,0.542,0.0386,0.6043,0.6128,0.0085,60.05,57.47,-0.0258,62.46,60.15,-0.0231,68.67,67.07,-0.016,65.34,63.38,-0.0196,0.14694936164099245,0.0019293403859800002,76.17,246.4,253.31,0.6744240722352938,-0.12
c_charge_degree,['sex'],LRTD,-0.5198,-0.042,0.4778,0.4533,0.0467,-0.4066,0.5001,0.9391,0.439,-0.0699,-0.0093,0.0606,0.5199,0.6019,0.082,0.6142,0.6612,0.047,59.54,56.92,-0.0262,61.85,58.97,-0.0288,69.08,71.0,0.0192,65.21,64.4,-0.0081,0.15346727132545518,0.0020138320534442097,76.21,249.54,252.19,0.6744240722352938,-0.12
priors_count,None,LRTD,-0.1722,-0.0192,0.153,0.1848,0.0288,-0.156,0.7461,0.9786,0.2325,0.0031,-0.0087,-0.0118,0.5082,0.6106,0.1024,0.6116,0.6885,0.0769,60.35,58.83,-0.0152,62.55,60.02,-0.0253,69.63,75.24,0.0561,65.81,66.72,0.0091,0.17725581032639506,0.0013102406791760004,135.28,259.12,256.21,1.0,0.0
priors_count,['age'],LRTD,-0.3368,-0.0594,0.2774,0.2721,0.0426,-0.2295,0.7239,0.9426,0.2187,-0.0626,-0.0232,0.0394,0.6629,0.5592,-0.1037,0.7221,0.6305,-0.0916,57.46,57.69,0.0024,58.69,60.04,0.0135,77.1,68.96,-0.0814,66.41,64.13,-0.0228,0.153188343276344,0.002178699252528001,70.31,249.06,256.71,0.8336348830246822,-0.06
priors_count,['c_charge_degree'],LRTD,-0.183,-0.0139,0.1691,0.21,0.0262,-0.1838,0.7127,0.9757,0.263,0.015,-0.0058,-0.0208,0.4916,0.465,-0.0266,0.601,0.5477,-0.0533,60.78,57.86,-0.0292,63.13,61.7,-0.0143,69.05,61.51,-0.0754,65.89,61.54,-0.0435,0.1351346006486921,0.0009557301862533601,141.39,241.09,256.69,0.5995101785600032,0.16
priors_count,['race'],LRTD,-0.1692,0.0021,0.1713,0.1852,0.0365,-0.1487,0.7434,1.0024,0.259,0.0067,-0.0036,-0.0103,0.5034,0.485,-0.0184,0.6043,0.5706,-0.0337,60.05,58.36,-0.0169,62.46,61.66,-0.008,68.67,64.05,-0.0462,65.34,62.75,-0.0259,0.14462362890528158,0.0009640254678012002,150.02,245.28,254.4,0.7527138062630524,0.09
priors_count,['sex'],LRTD,-0.1763,-0.0077,0.1686,0.1964,0.0167,-0.1797,0.7326,0.9914,0.2588,0.0104,-0.0072,-0.0176,0.5199,0.5531,0.0332,0.6142,0.6281,0.0139,59.54,58.0,-0.0154,61.85,60.3,-0.0155,69.08,68.95,-0.0013,65.21,64.3,-0.0091,0.1550526678185952,0.0009080163827616004,170.76,249.96,253.51,0.8336348830246822,0.06
race,None,LRTD,-0.2824,-0.1322,0.1502,0.2584,0.1259,-0.1325,0.6706,0.8106,0.14,-0.0339,-0.0169,0.017,0.5082,0.485,-0.0232,0.6116,0.5706,-0.041,60.35,58.36,-0.02,62.55,61.66,-0.0089,69.63,64.05,-0.0558,65.81,62.75,-0.0306,0.14462362890528158,0.005766199368710879,25.08,244.88,255.81,0.8336348830246822,0.06
race,['age'],LRTD,-0.4831,-0.1027,0.3804,0.4213,0.0868,-0.3345,0.5787,0.8817,0.303,-0.0589,-0.0214,0.0375,0.6629,0.6078,-0.0551,0.7221,0.6731,-0.049,57.46,57.53,0.0007,58.69,59.3,0.0061,77.1,72.57,-0.0453,66.41,65.24,-0.0117,0.16150745060587357,0.004613057843037001,35.01,252.67,256.12,0.6744240722352938,-0.12
race,['c_charge_degree'],LRTD,-0.3514,-0.1167,0.2347,0.3075,0.1097,-0.1978,0.6182,0.8407,0.2225,-0.0512,-0.014,0.0371,0.4916,0.542,0.0504,0.601,0.6128,0.0118,60.78,57.47,-0.0331,63.13,60.15,-0.0298,69.05,67.07,-0.0198,65.89,63.38,-0.0251,0.14694936164099245,0.00530647531501248,27.69,246.13,256.08,1.0,0.0
