Feature,Droped_Attrib,acc_,acc_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after
age,None,0.6035465516115275,0.5536297117346253,-0.01259999999999999,0.18521,0.43320000000000003,0.16212,0.489,1.27694,0.03320000000000003,0.030109999999999984,0.5082,0.53259,0.6115999999999999,0.58497,0.6255,0.59151,0.6962999999999999,0.62781,0.6581,0.60525
age,['c_charge_degree'],0.6078459434226855,0.5493066724040556,-0.0472,0.18393,0.45649999999999996,0.1567,0.46950000000000003,1.36153,0.015600000000000001,0.009144999999999992,0.4916,0.5545100000000001,0.601,0.59824,0.6313,0.58236,0.6905,0.6343700000000001,0.6589,0.6064499999999999
age,['priors_count'],0.6025739489244316,0.5525254820751418,-0.031399999999999983,0.17791,0.4642,0.1745,0.4679,1.4527100000000002,0.02675000000000003,-0.012014999999999991,0.5162,0.51658,0.6183,0.56806,0.6236,0.59019,0.7012999999999999,0.61068,0.6594,0.59924
age,['race'],0.6004988838985558,0.5610021092588395,-0.020999999999999998,0.12917,0.4403,0.12617,0.4819,1.23509,0.032100000000000024,0.009684999999999971,0.5034000000000001,0.59282,0.6043,0.64508,0.6246,0.586,0.6867,0.6877500000000001,0.6534,0.63189
age,['sex'],0.5953688513568028,0.5469886392014783,-0.009599999999999997,0.29759,0.4439,0.26113,0.4975,1.64216,0.009450000000000014,0.01804499999999999,0.5199,0.59519,0.6142,0.63286,0.6185,0.5762,0.6908,0.6637900000000001,0.6521000000000001,0.61628
c_charge_degree,None,0.6035465516115275,0.5723495568251236,-0.4457,-0.039169999999999996,0.40740000000000004,0.07446,0.5345,0.86839,-0.047499999999999945,0.009835000000000003,0.5082,0.36069,0.6115999999999999,0.447,0.6255,0.63634,0.6962999999999999,0.51799,0.6581,0.5705100000000001
c_charge_degree,['age'],0.5745740180804592,0.5454311109915821,-0.47869999999999996,0.03215,0.42829999999999996,0.14034000000000002,0.5717,1.14863,-0.04954999999999996,-0.002725000000000007,0.6628999999999999,0.41438,0.7221000000000001,0.46851,0.5869,0.60275,0.7709999999999999,0.5130600000000001,0.6640999999999999,0.55206
c_charge_degree,['priors_count'],0.6025739489244316,0.5684132533684748,-0.4578,0.12176999999999999,0.4261,0.1023,0.5235,1.22327,-0.04199999999999997,0.01528,0.5162,0.39858,0.6183,0.47688,0.6236,0.6239399999999999,0.7012999999999999,0.54149,0.6594,0.5786
c_charge_degree,['race'],0.6004988838985558,0.5604791744307114,-0.4545,0.05048,0.4103,0.12757,0.5287000000000001,1.03107,-0.052399999999999995,0.02488,0.5034000000000001,0.34497999999999995,0.6043,0.42086,0.6246,0.6359899999999999,0.6867,0.4829,0.6534,0.54389
c_charge_degree,['sex'],0.5953688513568028,0.5418789308478145,-0.5197999999999999,0.15173,0.4533,0.18979,0.5001,1.44546,-0.06989999999999996,-0.00354500000000001,0.5199,0.43985,0.6142,0.48818000000000006,0.6185,0.59573,0.6908,0.52774,0.6521000000000001,0.5566599999999999
priors_count,None,0.6035465516115275,0.5777344869583257,-0.1722,0.08870000000000001,0.1848,0.09728999999999999,0.7461,1.2072,0.003100000000000011,-0.003359999999999994,0.5082,0.45532000000000006,0.6115999999999999,0.5383,0.6255,0.61869,0.6962999999999999,0.60594,0.6581,0.61092
priors_count,['age'],0.5745740180804592,0.5620436374533677,-0.3368,0.08715,0.2721,0.13434000000000001,0.7239,1.27176,-0.06264999999999998,-0.03511499999999996,0.6628999999999999,0.50623,0.7221000000000001,0.56777,0.5869,0.59837,0.7709999999999999,0.61866,0.6640999999999999,0.60772
priors_count,['c_charge_degree'],0.6078459434226855,0.5697660797368997,-0.183,0.17959,0.21,0.17166,0.7127,1.48083,0.015000000000000012,0.00283999999999998,0.4916,0.39565,0.601,0.47582,0.6313,0.62536,0.6905,0.54165,0.6589,0.57968
priors_count,['race'],0.6004988838985558,0.5835833195661612,-0.16920000000000002,0.002099999999999999,0.1852,0.0365,0.7434000000000001,1.0024,0.006700000000000019,-0.0036000000000000094,0.5034000000000001,0.485,0.6043,0.5706,0.6246,0.6165999999999999,0.6867,0.6405,0.6534,0.6275
priors_count,['sex'],0.5953688513568028,0.5732178299606963,-0.17629999999999998,0.15362,0.19640000000000002,0.14129,0.7326,1.30709,0.01039999999999998,0.004064999999999966,0.5199,0.47812,0.6142,0.55382,0.6185,0.61085,0.6908,0.61548,0.6521000000000001,0.61231
race,None,0.6035465516115275,0.5778768715349948,-0.2824,0.057960000000000005,0.2584,0.04571,0.6706,1.0866,-0.03389999999999998,0.0032249999999999996,0.5082,0.43088,0.6115999999999999,0.5162300000000001,0.6255,0.62353,0.6962999999999999,0.58583,0.6581,0.60342
