Feature,Droped_Attrib,acc_,acc_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after
age,None,0.6035465516115275,0.5673687284127539,-0.01259999999999999,-0.050300000000000004,0.43320000000000003,0.0857,0.489,0.8787,0.03320000000000003,0.0069,0.5082,0.5238,0.6115999999999999,0.5899,0.6255,0.6005999999999999,0.6962999999999999,0.6437999999999999,0.6581,0.6193
age,['c_charge_degree'],0.6078459434226855,0.5711075722008138,-0.0472,0.0036999999999999993,0.45649999999999996,0.05,0.46950000000000003,0.9292,0.015600000000000001,0.02765,0.4916,0.594,0.601,0.6559,0.6313,0.592,0.6905,0.7067,0.6589,0.644
age,['priors_count'],0.6025739489244316,0.5769345438199484,-0.031399999999999983,-0.1069,0.4642,0.1197,0.4679,0.8371,0.02675000000000003,-0.00584999999999999,0.5162,0.5592,0.6183,0.6305,0.6236,0.6004,0.7012999999999999,0.6896,0.6594,0.6413
age,['race'],0.6004988838985558,0.5752634652548592,-0.020999999999999998,0.0294,0.4403,0.0415,0.4819,0.9598,0.032100000000000024,0.03054999999999997,0.5034000000000001,0.6078,0.6043,0.6731,0.6246,0.593,0.6867,0.7256999999999999,0.6534,0.6524000000000001
age,['sex'],0.5953688513568028,0.5744351297251816,-0.009599999999999997,-0.0254,0.4439,0.0638,0.4975,0.9189,0.009450000000000014,0.01665,0.5199,0.6648000000000001,0.6142,0.7234999999999999,0.6185,0.5857,0.6908,0.7712,0.6521000000000001,0.6655
c_charge_degree,None,0.6035465516115275,0.5806726192077024,-0.4457,-0.0536,0.40740000000000004,0.057800000000000004,0.5345,0.9242,-0.047499999999999945,-0.00695,0.5082,0.6544,0.6115999999999999,0.7199,0.6255,0.5904,0.6962999999999999,0.7737999999999999,0.6581,0.6696000000000001
c_charge_degree,['age'],0.5745740180804592,0.5711075722008138,-0.47869999999999996,-0.055099999999999996,0.42829999999999996,0.0554,0.5717,0.9209999999999999,-0.04954999999999996,-0.00914999999999998,0.6628999999999999,0.594,0.7221000000000001,0.6559,0.5869,0.592,0.7709999999999999,0.7067,0.6640999999999999,0.644
c_charge_degree,['priors_count'],0.6025739489244316,0.5785996672826675,-0.4578,-0.0666,0.4261,0.08349999999999999,0.5235,0.8665999999999999,-0.04199999999999997,0.00019999999999999952,0.5162,0.465,0.6183,0.5477000000000001,0.6236,0.617,0.7012999999999999,0.6151,0.6594,0.6154
c_charge_degree,['race'],0.6004988838985558,0.5747136748360425,-0.4545,-0.038,0.4103,0.0538,0.5287000000000001,0.9175,-0.052399999999999995,0.0021499999999999996,0.5034000000000001,0.542,0.6043,0.6128,0.6246,0.6015,0.6867,0.6707000000000001,0.6534,0.6338
c_charge_degree,['sex'],0.5953688513568028,0.5691679377288392,-0.5197999999999999,-0.042,0.4533,0.0467,0.5001,0.9390999999999999,-0.06989999999999996,-0.00930000000000001,0.5199,0.6019,0.6142,0.6612,0.6185,0.5897,0.6908,0.71,0.6521000000000001,0.644
priors_count,None,0.6035465516115275,0.58830110534384,-0.1722,-0.0192,0.1848,0.0288,0.7461,0.9786,0.003100000000000011,-0.00869999999999999,0.5082,0.6106,0.6115999999999999,0.6885000000000001,0.6255,0.6002,0.6962999999999999,0.7524,0.6581,0.6672
