"Swap 
 Percentage",Measurement,Feature,race,c_charge_degree,sex,priors_count,age,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
10%,"Hellinger
 distance",sex,-,-,-,-,-,,0.5002215237719353,0.5002215237719353,0.5002215237719353,0,[],[],[]
10%,"Wasserstein
 distance",sex,-,-,-,-,-,,0.0036340090297789797,0.0036340090297789797,0.0036340090297789797,0,[],[],[]
10%,"Total variation
 distance",sex,-,-,-,-,-,,0.0463772840775692,0.0463772840775692,0.0463772840775692,0,[],[],[]
10%,"Jensen-Shannon
 divergence",sex,-,-,-,-,-,,0.04032780676342635,0.04032780676342635,0.04032780676342635,0,[],[],[]
30%,"Hellinger
 distance",sex,-,-,-,-,-,,0.8904990562498011,0.8904990562498011,0.8904990562498011,0,[],[],[]
30%,"Wasserstein
 distance",sex,-,-,-,-,-,,0.012489738703298489,0.012489738703298489,0.012489738703298489,0,[],[],[]
30%,"Total variation
 distance",sex,-,-,-,-,-,,0.13940198658002947,0.13940198658002947,0.13940198658002947,0,[],[],[]
30%,"Jensen-Shannon
 divergence",sex,-,-,-,-,-,,0.07074362180399381,0.07074362180399381,0.07074362180399381,0,[],[],[]
50%,"Hellinger
 distance",sex,-,-,-,-,-,,1.135105916513007,1.135105916513007,1.135105916513007,0,[],[],[]
50%,"Wasserstein
 distance",sex,-,-,-,-,-,,0.01897398755179375,0.01897398755179375,0.01897398755179375,0,[],[],[]
50%,"Total variation
 distance",sex,-,-,-,-,-,,0.2077173621525365,0.2077173621525365,0.2077173621525365,0,[],[],[]
50%,"Jensen-Shannon
 divergence",sex,-,-,-,-,-,,0.08943896429487078,0.08943896429487078,0.08943896429487078,0,[],[],[]
70%,"Hellinger
 distance",sex,-,-,-,-,-,,1.351604080159253,1.351604080159253,1.351604080159253,0,[],[],[]
70%,"Wasserstein
 distance",sex,-,-,-,-,-,,0.02630689755280325,0.02630689755280325,0.02630689755280325,0,[],[],[]
70%,"Total variation
 distance",sex,-,-,-,-,-,,0.2742783739205666,0.2742783739205666,0.2742783739205666,0,[],[],[]
70%,"Jensen-Shannon
 divergence",sex,-,-,-,-,-,,0.10532551629187006,0.10532551629187006,0.10532551629187006,0,[],[],[]
10%,"Hellinger
 distance",age,0.4977/0.5937,0.4687/0.5382,0.3567/0.6403,0.4709/0.5437,-,,0.49890062001324065,0.49890062001324065,1.656859835137152,4.109822929380382,[],"[0.5936581748253897, 0.5382201308322632, 0.6403252863379968, 0.543714838252173]","[1.0913385404298208, 1.006870990575948, 0.9969884410679184, 1.014624957306695]"
10%,"Wasserstein
 distance",age,0.0009/0.0051,0.0011/0.0019,0.0006/0.0035,0.001/0.0028,-,,0.00208893552232882,0.00208893552232882,0.008779816354465404,0.01695000427941184,[],"[0.00513523826080231, 0.0018711313898455099, 0.0035466521736521304, 0.00282873983997322]","[0.006027050142041909, 0.00295915696208177, 0.004177569502178791, 0.00378622767310937]"
10%,"Total variation
 distance",age,0.0331/0.0653,0.0306/0.0431,0.0177/0.0649,0.0303/0.0487,-,,0.039093054316615666,0.039093054316615666,0.15006576373543007,0.5555818672190665,[],"[0.06528483781591862, 0.04306364072575811, 0.06488184567302355, 0.048715094622928515]","[0.16365394404006048, 0.1167083288273267, 0.14749918484298408, 0.1277204095086953]"
10%,"Jensen-Shannon
 divergence",age,0.0404/0.0476,0.038/0.0435,0.0291/0.0517,0.0382/0.0438,-,,0.040381006738644726,0.040381006738644726,0.13372929656844734,0.3323706721729843,[],"[0.04764303536633856, 0.043527105859770564, 0.05168118196469408, 0.04384525646880204]","[0.08801569839285792, 0.08155580186953154, 0.08073213899552295, 0.08206703291507186]"
30%,"Hellinger
 distance",age,0.8614/0.9644,0.8391/0.965,0.6606/1.1547,0.8445/0.9614,-,,0.8841806951501804,0.8841806951501804,2.9069934768669046,7.251259881006038,[],"[0.9644482291679972, 0.9650405049727568, 1.1546947729631403, 0.9614420563295539]","[1.8258973241405778, 1.8041812166728914, 1.8152550408269972, 1.8059262993655718]"
30%,"Wasserstein
 distance",age,0.0023/0.0134,0.002/0.005,0.0022/0.0058,0.0041/0.0031,-,,0.00461272545342715,0.00461272545342715,0.01820133018107705,0.037708037753155316,[],"[0.013359990297299371, 0.00496094670801905, 0.00576609528083324, 0.0030901771691481403]","[0.015666307792641092, 0.0069406635445034, 0.00794166395733963, 0.007159402458671191]"
30%,"Total variation
 distance",age,0.0936/0.1572,0.0857/0.1297,0.055/0.1766,0.097/0.1202,-,,0.10975705790607782,0.10975705790607782,0.4016222297385429,1.4988561560721063,[],"[0.15724145341589965, 0.1297150071811604, 0.17660591309245627, 0.12016796997541386]","[0.40813166932879774, 0.34510773303439385, 0.40824662412798063, 0.3373701295809339]"
30%,"Jensen-Shannon
 divergence",age,0.0702/0.0766,0.0687/0.0779,0.0545/0.0935,0.0688/0.0779,-,,0.07161158906483654,0.07161158906483654,0.2345947255073717,0.5880614273962108,[],"[0.07659611512644135, 0.0779468035845844, 0.09350129401819089, 0.07792206015585365]","[0.14675013687474459, 0.14661739553463424, 0.14798890895251596, 0.146704986034316]"
50%,"Hellinger
 distance",age,1.1121/1.2524,1.0572/1.2432,0.8148/1.506,1.1015/1.2054,-,,1.1522677594727235,1.1522677594727235,3.7557086045049517,9.292445883377031,[],"[1.2523797392222598, 1.2431679354816596, 1.5059790723782571, 1.2053549429822792]","[2.3644664686032417, 2.3003308351343534, 2.3207573929343317, 2.306891186705105]"
