Feature,"Swap 
 Percentage",Metric,CDI,NDI,NII,Impact_Sum,AVERAGE,NDI2,NII2
sex,10%,"Hellinger
 distance(+)",0.5002215237719353,0,0,0.5002215237719353,0.16674050792397843
sex,10%,"Wasserstein
 distance(+)",0.0036340090297789797,0,0,0.0036340090297789797,0.00121133634325966
sex,10%,"Total variation
 distance(+)",0.0463772840775692,0,0,0.0463772840775692,0.015459094692523066
sex,10%,"Jensen–Shannon
 divergence(+)",0.04032780676342635,0,0,0.04032780676342635,0.01344260225447545
sex,30%,"Hellinger
 distance(+)",0.8904990562498011,0,0,0.8904990562498011,0.2968330187499337
sex,30%,"Wasserstein
 distance(+)",0.012489738703298489,0,0,0.012489738703298489,0.00416324623443283
sex,30%,"Total variation
 distance(+)",0.13940198658002947,0,0,0.13940198658002947,0.04646732886000982
sex,30%,"Jensen–Shannon
 divergence(+)",0.07074362180399381,0,0,0.07074362180399381,0.023581207267997936
sex,50%,"Hellinger
 distance(+)",1.135105916513007,0,0,1.135105916513007,0.378368638837669
sex,50%,"Wasserstein
 distance(+)",0.01897398755179375,0,0,0.01897398755179375,0.006324662517264584
sex,50%,"Total variation
 distance(+)",0.2077173621525365,0,0,0.2077173621525365,0.06923912071751216
sex,50%,"Jensen–Shannon
 divergence(+)",0.08943896429487078,0,0,0.08943896429487078,0.02981298809829026
sex,70%,"Hellinger
 distance(+)",1.351604080159253,0,0,1.351604080159253,0.45053469338641766
sex,70%,"Wasserstein
 distance(+)",0.02630689755280325,0,0,0.02630689755280325,0.008768965850934417
sex,70%,"Total variation
 distance(+)",0.2742783739205666,0,0,0.2742783739205666,0.09142612464018886
sex,70%,"Jensen–Shannon
 divergence(+)",0.10532551629187006,0,0,0.10532551629187006,0.035108505430623355
age,10%,"Hellinger
 distance(+)",0.49890062001324065,0,2.3159184302478226,2.8148190502610633,0.9382730167536878
age,10%,"Wasserstein
 distance(+)",0.00208893552232882,0,2.3159184302478226,0.00208893552232882,0.005156899062200663
age,10%,"Total variation
 distance(+)",0.039093054316615666,0,0.2219454188376288,0.039093054316615666,0.08701282438474815
age,10%,"Jensen–Shannon
 divergence(+)",0.040381006738644726,0,0.18669657965960523,0.040381006738644726,0.07569252879941665
age,30%,"Hellinger
 distance(+)",0.8841806951501804,0,4.045625563433449,4.929806258583629,1.6432687528612098
age,30%,"Wasserstein
 distance(+)",0.00461272545342715,0,4.045625563433449,0.00461272545342715,0.010596644969575651
age,30%,"Total variation
 distance(+)",0.10975705790607782,0,0.5837303436649302,0.10975705790607782,0.23116246719033598
age,30%,"Jensen–Shannon
 divergence(+)",0.07161158906483654,0,0.3259662728850703,0.07161158906483654,0.13252595398330227
