ID,ID2,Feature,Feature2,Partial_ordering,swap_proportion,Type,P_a_b,P_a_not_b,P_b_not_a,P_a_b_over_P_a_not_b,P_b_a_over_P_b_not_a,Acc,Acc_after,hellinger_div,wasserstein_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
F_0,F_0,age,age,N/A,10.0,CDI,0,0,0,0,0,0.8012533572068039,0.8012533572068039,0.0,0.0,0.0,0.0,0.0,0.0,19.875,0.153,-0.765,0,0,0.153,0.765,0.835,0,0.0765,-0.3825,0.801,0.801,0,0,0.801,0.801,1.0,1.0,0.801,0.801,0.89,0.89,0.801,0.801
F_0,F_2,age,education,frequent,10.0,NII,0.019888908797706505,0.007615122737860598,0.012990503493997491,2.611764705882353,1.5310344827586209,0.8012533572068039,0.999104744852283,0.098792419159368,0.00014052959344879067,0.001116071428571438,0.00020075335898669318,0.006773060714850975,0.09,0.09,0.153,-1.0,0,0.0,0.153,0.765,0.835,0,0.0765,-0.5,0.801,1.0,0,0.005,0.801,0.802,1.0,0.999,0.801,1.0,0.89,0.999,0.801,0.999
F_0,F_2,age,education,frequent,10.0,NDI,0.019888908797706505,0.007615122737860598,0.012990503493997491,2.611764705882353,1.5310344827586209,0.8012533572068039,1.0,0.0,0.0,0.0,0.0,0.0,1.074,0.0,0.153,-1.0,0,0.0,0.153,0.778,0.835,0,0.0765,-0.5,0.801,1.0,0,0.0,0.801,0.808,1.0,1.0,0.801,1.0,0.89,1.0,0.801,1.0
F_0,F_3,age,default,frequent,10.0,NII,0.02705608313922236,0.0004479483963447411,0.016215731947679626,60.4,1.6685082872928176,0.8012533572068039,0.990152193375112,0.3276573864831417,0.0009837071541414651,0.009966777408637915,0.0019318010985399949,0.02244714410308726,0.09,0.985,0.153,-0.983,0,0.0,0.153,0.765,0.835,0,0.0765,-0.4915,0.801,0.99,0,0.009,0.801,0.802,1.0,0.998,0.801,0.99,0.89,0.994,0.801,0.99
F_0,F_3,age,default,frequent,10.0,NDI,0.02705608313922236,0.0004479483963447411,0.016215731947679626,60.4,1.6685082872928176,0.8012533572068039,0.9982094897045658,0.13971357903482584,0.00028105918689756395,0.002272727272727317,0.0003976534497959746,0.009533366625999407,1.701,0.179,0.153,-1.0,0,0.0,0.153,0.747,0.835,0,0.0765,-0.5,0.801,1.0,0,0.008,0.801,0.788,1.0,0.998,0.801,1.0,0.89,0.999,0.801,0.998
F_0,F_6,age,loan,frequent,10.0,NII,0.023472495968464433,0.00403153556710267,0.014423938362300662,5.822222222222223,1.627329192546584,0.8012533572068039,0.9803043867502238,0.46337751977618175,0.002529532682078075,0.022321428571428673,0.004260229589569485,0.03147795433633235,0.09,1.97,0.153,-0.993,0,0.103,0.153,0.768,0.835,0,0.0765,-0.445,0.801,0.998,0,0.084,0.801,0.802,1.0,0.978,0.801,0.998,0.89,0.988,0.801,0.98
F_0,F_6,age,loan,frequent,10.0,NDI,0.023472495968464433,0.00403153556710267,0.014423938362300662,5.822222222222223,1.627329192546584,0.8012533572068039,0.999104744852283,0.098792419159368,0.00014052959344879067,0.001133786848072556,0.00019931918720113862,0.006748819588843687,1.343,0.09,0.153,-1.0,0,0.0,0.153,0.747,0.835,0,0.0765,-0.5,0.801,1.0,0,0.004,0.801,0.79,1.0,0.999,0.801,1.0,0.89,0.999,0.801,0.999
F_1,F_1,job,job,N/A,10.0,CDI,0,0,0,0,0,0.8012533572068039,0.8030438675022381,0.13971357903482584,0.00028105918689756395,0.002229654403567474,0.00040112451281031585,0.009574899663923503,0.179,19.696,-0.107,-0.768,0,0,0.107,0.768,1.156,0,-0.0535,-0.384,0.801,0.803,0,0,0.801,0.803,1.0,1.0,0.801,0.803,0.89,0.891,0.801,0.803
F_1,F_0,job,age,frequent,10.0,NII,0.005464970435405841,0.0019709729439168606,0.003225228453682136,2.772727272727273,1.6944444444444444,0.8012533572068039,0.999104744852283,0.098792419159368,0.00014052959344877325,0.0011148272017837046,0.0001701320639485285,0.006774802235581049,0.09,0.09,-0.107,-1.0,0,0.0,0.107,0.768,1.156,0,-0.0535,-0.5,0.801,0.999,0,0.0,0.801,0.802,1.0,1.0,0.801,0.999,0.89,0.999,0.801,0.999
F_1,F_0,job,age,frequent,10.0,NDI,0.005464970435405841,0.0019709729439168606,0.003225228453682136,2.772727272727273,1.6944444444444444,0.8012533572068039,0.9973142345568488,0.17111348938666637,0.0004215887803463546,0.0033407572383072903,0.0006011130677187206,0.011722326907444557,0.269,0.269,-0.107,-1.0,0,0.011,0.107,0.768,1.156,0,-0.0535,-0.4945,0.801,1.0,0,0.014,0.801,0.804,1.0,0.997,0.801,1.0,0.89,0.998,0.801,0.997
