Fold,Feature,Droped_Attrib,acc_,acc_after,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
0,sex,None,0.7047619047619048,0.6952380952380952,0.119,0.087,-0.256,-0.259,0.18,0.167,0.69,0.739,-0.0685,-0.08600000000000001,0.708,0.771,0.298,0.368,0.486,0.552,0.667,0.638,0.708,0.771,0.687,0.698,0.705,0.695
0,age,None,0.7047619047619048,0.6285714285714286,-0.833,-0.702,0.333,0.453,0.544,0.57,0,0,-0.24999999999999997,-0.12449999999999997,0.708,0.688,0.298,0.421,0.486,0.543,0.667,0.579,0.708,0.688,0.687,0.629,0.705,0.629
0,Pstatus,None,0.7047619047619048,0.6571428571428571,-0.051,0.12,-0.039,-0.235,0.056,0.222,0.896,0.722,-0.045,-0.057499999999999996,0.708,0.792,0.298,0.456,0.486,0.61,0.667,0.594,0.708,0.792,0.687,0.679,0.705,0.657
0,Medu,None,0.7047619047619048,0.5904761904761905,-0.325,-0.103,0.208,0.037,0.339,0.109,2.356,1.193,-0.05850000000000001,-0.033,0.708,0.75,0.298,0.544,0.486,0.638,0.667,0.537,0.708,0.75,0.687,0.626,0.705,0.59
0,Fjob,None,0.7047619047619048,0.6095238095238096,-0.095,-0.068,0.111,0.256,0.086,0.157,1.2,1.306,0.008,0.094,0.708,0.75,0.298,0.509,0.486,0.619,0.667,0.554,0.708,0.75,0.687,0.637,0.705,0.61
0,reason,None,0.7047619047619048,0.6857142857142857,0.265,0.201,-0.181,0.139,0.241,0.04,0.616,0.934,0.04200000000000001,0.17,0.708,0.792,0.298,0.404,0.486,0.581,0.667,0.623,0.708,0.792,0.687,0.697,0.705,0.686
0,guardian,None,0.7047619047619048,0.5619047619047619,0.298,-0.787,0.304,0.625,0.015,0.699,0.971,0,0.301,-0.08100000000000002,0.708,0.771,0.298,0.614,0.486,0.686,0.667,0.514,0.708,0.771,0.687,0.617,0.705,0.562
0,traveltime,None,0.7047619047619048,0.6190476190476191,-0.344,-0.005,0.298,0.368,0.09,0.13,1.225,0.783,-0.022999999999999993,0.1815,0.708,0.604,0.298,0.368,0.486,0.476,0.667,0.58,0.708,0.604,0.687,0.592,0.705,0.619
0,studytime,None,0.7047619047619048,0.6476190476190476,0.109,-0.08,-0.366,-0.053,0.289,0.032,0.593,0.948,-0.1285,-0.0665,0.708,0.771,0.298,0.456,0.486,0.6,0.667,0.587,0.708,0.771,0.687,0.667,0.705,0.648
0,schoolsup,None,0.7047619047619048,0.6190476190476191,-0.85,-0.625,0.5,0.197,0.689,0.388,0,2.095,-0.175,-0.214,0.708,0.771,0.298,0.509,0.486,0.629,0.667,0.561,0.708,0.771,0.687,0.649,0.705,0.619
