Fold,Feature,Droped_Attrib,acc_,acc_after,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
0,age,None,0.8012533572068039,0.41897940913160253,0.153,0,0,-0.104,0.153,0.104,0.835,0.838,0.0765,-0.052,0.801,0,0,0.581,0.801,0.581,1.0,0.0,0.801,0,0.89,0,0.801,0.419
0,job,None,0.8012533572068039,0.36347358997314233,-0.107,0,0,0.015,0.107,0.015,1.156,1.025,-0.0535,0.0075,0.801,0,0,0.637,0.801,0.637,1.0,0.0,0.801,0,0.89,0,0.801,0.363
0,education,None,0.8012533572068039,0.35631154879140553,0.135,0,0,-0.045,0.135,0.045,0.849,0.934,0.0675,-0.0225,0.801,0,0,0.644,0.801,0.644,1.0,0.0,0.801,0,0.89,0,0.801,0.356
0,default,None,0.8012533572068039,0.2730528200537153,-0.404,0,0,0.214,0.404,0.214,1.991,1.412,-0.202,0.107,0.801,0,0,0.727,0.801,0.727,1.0,0.0,0.801,0,0.89,0,0.801,0.273
0,balance,None,0.8012533572068039,0.288272157564906,0.0,0,0,-0.085,0.0,0.085,1.0,0.889,0.0,-0.0425,0.801,0,0,0.712,0.801,0.712,1.0,0.0,0.801,0,0.89,0,0.801,0.288
0,housing,None,0.8012533572068039,0.34825425246195163,-0.255,0,0,-0.044,0.255,0.044,1.379,0.935,-0.1275,-0.022,0.801,0,0,0.652,0.801,0.652,1.0,0.0,0.801,0,0.89,0,0.801,0.348
0,loan,None,0.8012533572068039,0.3205013428827216,-0.055,0,0,-0.044,0.055,0.044,1.072,0.939,-0.0275,-0.022,0.801,0,0,0.679,0.801,0.679,1.0,0.0,0.801,0,0.89,0,0.801,0.321
0,duration,None,0.8012533572068039,0.5371530886302597,0.25,0,0,0.047,0.25,0.047,0.75,1.107,0.125,0.0235,0.801,0,0,0.463,0.801,0.463,1.0,0.0,0.801,0,0.89,0,0.801,0.537
0,campaign,None,0.8012533572068039,0.36347358997314233,-0.765,0,0,0.063,0.765,0.063,0,1.109,-0.3825,0.0315,0.801,0,0,0.637,0.801,0.637,1.0,0.0,0.801,0,0.89,0,0.801,0.363
0,age,['housing'],0.8200537153088631,0.4879140555058192,0.145,0,0,0.003,0.145,0.003,0.85,1.005,0.0725,0.0015,0.82,0,0,0.512,0.82,0.512,1.0,0.0,0.82,0,0.901,0,0.82,0.488
0,job,['housing'],0.8200537153088631,0.39659803043867503,-0.137,0,0,0.054,0.137,0.054,1.189,1.094,-0.0685,0.027,0.82,0,0,0.603,0.82,0.603,1.0,0.0,0.82,0,0.901,0,0.82,0.397
0,education,['housing'],0.8200537153088631,0.37958818263205013,0.107,0,0,0.028,0.107,0.028,0.88,1.047,0.0535,0.014,0.82,0,0,0.62,0.82,0.62,1.0,0.0,0.82,0,0.901,0,0.82,0.38
