Fold,Feature,Droped_Attrib,acc_,acc_after,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
0,age,None,0.8012533572068039,0.40644583706356313,0.153,0,0,-0.042,0.153,0.042,0.835,0.932,0.0765,-0.021,0.801,0,0,0.594,0.801,0.594,1.0,0.0,0.801,0,0.89,0,0.801,0.406
0,job,None,0.8012533572068039,0.32408236347359,-0.107,0,0,-0.017,0.107,0.017,1.156,0.976,-0.0535,-0.0085,0.801,0,0,0.676,0.801,0.676,1.0,0.0,0.801,0,0.89,0,0.801,0.324
0,education,None,0.8012533572068039,0.2936436884512086,0.135,0,0,-0.101,0.135,0.101,0.849,0.87,0.0675,-0.0505,0.801,0,0,0.706,0.801,0.706,1.0,0.0,0.801,0,0.89,0,0.801,0.294
0,default,None,0.8012533572068039,0.2990152193375112,-0.404,0,0,0.377,0.404,0.377,1.991,2.13,-0.202,0.1885,0.801,0,0,0.701,0.801,0.701,1.0,0.0,0.801,0,0.89,0,0.801,0.299
0,balance,None,0.8012533572068039,0.333034914950761,0.0,0,0,-0.028,0.0,0.028,1.0,0.959,0.0,-0.014,0.801,0,0,0.667,0.801,0.667,1.0,0.0,0.801,0,0.89,0,0.801,0.333
0,housing,None,0.8012533572068039,0.2811101163831692,-0.255,0,0,0.208,0.255,0.208,1.379,1.337,-0.1275,0.104,0.801,0,0,0.719,0.801,0.719,1.0,0.0,0.801,0,0.89,0,0.801,0.281
0,loan,None,0.8012533572068039,0.3205013428827216,-0.055,0,0,-0.056,0.055,0.056,1.072,0.922,-0.0275,-0.028,0.801,0,0,0.679,0.801,0.679,1.0,0.0,0.801,0,0.89,0,0.801,0.321
0,duration,None,0.8012533572068039,0.4968666069829902,0.25,0,0,-0.066,0.25,0.066,0.75,0.877,0.125,-0.033,0.801,0,0,0.503,0.801,0.503,1.0,0.0,0.801,0,0.89,0,0.801,0.497
0,campaign,None,0.8012533572068039,0.2963294538943599,-0.765,0,0,0.288,0.765,0.288,0,1.679,-0.3825,0.144,0.801,0,0,0.704,0.801,0.704,1.0,0.0,0.801,0,0.89,0,0.801,0.296
0,age,['housing'],0.8200537153088631,0.36526410026857653,0.145,0,0,-0.024,0.145,0.024,0.85,0.963,0.0725,-0.012,0.82,0,0,0.635,0.82,0.635,1.0,0.0,0.82,0,0.901,0,0.82,0.365
0,job,['housing'],0.8200537153088631,0.2909579230080573,-0.137,0,0,-0.067,0.137,0.067,1.189,0.911,-0.0685,-0.0335,0.82,0,0,0.709,0.82,0.709,1.0,0.0,0.82,0,0.901,0,0.82,0.291
0,education,['housing'],0.8200537153088631,0.2829006266786034,0.107,0,0,-0.024,0.107,0.024,0.88,0.968,0.0535,-0.012,0.82,0,0,0.717,0.82,0.717,1.0,0.0,0.82,0,0.901,0,0.82,0.283
0,default,['housing'],0.8200537153088631,0.2829006266786034,-0.537,0,0,0.469,0.537,0.469,2.811,2.81,-0.2685,0.2345,0.82,0,0,0.717,0.82,0.717,1.0,0.0,0.82,0,0.901,0,0.82,0.283
