ID,ID2,Feature,Feature2,Partial_ordering,swap_proportion,Type,P_a_b,P_a_not_b,P_b_not_a,P_a_b_over_P_a_not_b,P_b_a_over_P_b_not_a,Acc,Acc_after,hellinger_div,wasserstein_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
F_0,F_0,age,age,N/A,10.0,CDI,0,0,0,0,0,0.8012533572068039,0.8012533572068039,0.0,0.0,0.0,0.0,0.0,0.0,19.875,0.153,-0.765,0,0,0.153,0.765,0.835,0,0.0765,-0.3825,0.801,0.801,0,0,0.801,0.801,1.0,1.0,0.801,0.801,0.89,0.89,0.801,0.801
F_0,F_1,age,job,defined,10.0,NII,0,0,0,0,0,0.8012533572068039,0.999104744852283,0.098792419159368,0.00014052959344879067,0.0011160714285714311,0.00020075335898669326,0.006773060714850983,0.09,0.09,0.153,-1.0,0,0.011,0.153,0.768,0.835,0,0.0765,-0.4945,0.801,1.0,0,0.005,0.801,0.802,1.0,0.999,0.801,1.0,0.89,0.999,0.801,0.999
F_0,F_1,age,job,defined,10.0,NDI,0,0,0,0,0,0.8012533572068039,0.9973142345568488,0.17111348938666637,0.0004215887803463546,0.003333333333333408,0.0006017304067922381,0.011728348170563112,0.448,0.269,0.153,-1.0,0,0.023,0.153,0.775,0.835,0,0.0765,-0.4885,0.801,1.0,0,0.014,0.801,0.806,1.0,0.997,0.801,1.0,0.89,0.998,0.801,0.997
F_0,F_2,age,education,defined,10.0,NII,0,0,0,0,0,0.8012533572068039,0.9982094897045658,0.13971357903482584,0.0,0.0011148272017837235,0.0003714745900606935,0.009587137134133903,0.179,0.179,0.153,-0.997,0,0.0,0.153,0.768,0.835,0,0.0765,-0.4985,0.801,0.999,0,0.005,0.801,0.803,1.0,0.999,0.801,0.999,0.89,0.999,0.801,0.998
F_0,F_2,age,education,defined,10.0,NDI,0,0,0,0,0,0.8012533572068039,0.999104744852283,0.098792419159368,0.00014052959344879067,0.0011061946902654524,0.00020158219034110741,0.006787030611311453,0.985,0.09,0.153,-1.0,0,0.0,0.153,0.778,0.835,0,0.0765,-0.5,0.801,1.0,0,0.005,0.801,0.809,1.0,0.999,0.801,1.0,0.89,0.999,0.801,0.999
F_0,F_3,age,default,defined,10.0,NII,0,0,0,0,0,0.8012533572068039,0.9892569382273948,0.34222697877333275,0.0011242367475902558,0.011074197120708966,0.00209977615180661,0.02343171900917552,0.0,1.074,0.153,-0.983,0,0.0,0.153,0.765,0.835,0,0.0765,-0.4915,0.801,0.989,0,0.009,0.801,0.801,1.0,0.998,0.801,0.989,0.89,0.993,0.801,0.989
F_0,F_3,age,default,defined,10.0,NDI,0,0,0,0,0,0.8012533572068039,0.9982094897045658,0.13971357903482584,0.0,0.0011389521640091116,0.0003678751198279536,0.009540575919054857,1.88,0.179,0.153,-0.997,0,0.0,0.153,0.744,0.835,0,0.0765,-0.4985,0.801,0.999,0,0.004,0.801,0.786,1.0,0.999,0.801,0.999,0.89,0.999,0.801,0.998
F_0,F_4,age,balance,defined,10.0,NII,0,0,0,0,0,0.8012533572068039,0.9803043867502238,0.46337751977618175,0.002529532682078075,0.022321428571428673,0.004260229589569485,0.03147795433633235,0.09,1.97,0.153,-0.993,0,0.103,0.153,0.768,0.835,0,0.0765,-0.445,0.801,0.998,0,0.084,0.801,0.802,1.0,0.978,0.801,0.998,0.89,0.988,0.801,0.98
F_0,F_4,age,balance,defined,10.0,NDI,0,0,0,0,0,0.8012533572068039,0.9982094897045658,0.13971357903482584,0.00028105918689756395,0.002229654403567474,0.00040112451281031585,0.009574899663923503,0.179,0.179,0.153,-1.0,0,0.0,0.153,0.765,0.835,0,0.0765,-0.5,0.801,1.0,0,0.009,0.801,0.803,1.0,0.998,0.801,1.0,0.89,0.999,0.801,0.998
F_0,F_5,age,housing,defined,10.0,NII,0,0,0,0,0,0.8012533572068039,0.9973142345568488,0.17111348938666637,0.00014052959344879067,0.0022321428571428974,0.0005718457438338696,0.01173527211086285,0.09,0.269,0.153,-1.0,0,0.011,0.153,0.768,0.835,0,0.0765,-0.4945,0.801,0.999,0,0.009,0.801,0.802,1.0,0.998,0.801,0.999,0.89,0.998,0.801,0.997
