Fold,Feature,acc_,acc_after,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
0,age,0.9,0.9,-0.208,-0.333,0.1,0.2,0.278,0.389,2.667,3.333,-0.05399999999999999,-0.0665,0.818,0.909,0.053,0.105,0.333,0.4,0.9,0.833,0.818,0.909,0.857,0.869,0.9,0.9
0,sex,0.9,0.8333333333333334,0.2,0.1,0.091,0.148,0.317,0.349,3.857,2.571,0.14550000000000002,0.124,0.818,0.909,0.053,0.211,0.333,0.467,0.9,0.714,0.818,0.909,0.857,0.8,0.9,0.833
0,cp,0.9,0.8666666666666667,-1.0,-0.5,0.1,-0.333,0.526,0.11,0,1.303,-0.45,-0.4165,0.818,0.909,0.053,0.158,0.333,0.433,0.9,0.769,0.818,0.909,0.857,0.833,0.9,0.867
0,trestbps,0.9,0.9333333333333333,-0.5,0.1,0.0,0.077,0.143,0.292,0,3.043,-0.25,0.0885,0.818,0.909,0.053,0.053,0.333,0.367,0.9,0.909,0.818,0.909,0.857,0.909,0.9,0.933
0,chol,0.9,0.8666666666666667,1.0,0.167,0.0,0.3,1.0,0.143,0.0,1.4,0.5,0.23349999999999999,0.818,0.909,0.053,0.158,0.333,0.433,0.9,0.769,0.818,0.909,0.857,0.833,0.9,0.867
0,fbs,0.9,0.8333333333333334,0.222,0.111,0.062,-0.146,0.08,0.16,0.8,0.733,0.14200000000000002,-0.017499999999999995,0.818,0.909,0.053,0.211,0.333,0.467,0.9,0.714,0.818,0.909,0.857,0.8,0.9,0.833
0,restecg,0.9,0.8333333333333334,0.9,0.0,0.071,0.143,0.533,0.133,0.111,0,0.4855,0.0715,0.818,0.818,0.053,0.158,0.333,0.4,0.9,0.75,0.818,0.818,0.857,0.783,0.9,0.833
0,thalach,0.9,0.8333333333333334,1.0,0.25,0.0,-0.179,1.0,0.398,0.0,0.425,0.5,0.035500000000000004,0.818,0.909,0.053,0.211,0.333,0.467,0.9,0.714,0.818,0.909,0.857,0.8,0.9,0.833
0,exang,0.9,0.7333333333333333,0.4,0.2,0.059,-0.147,0.568,0.42,0.242,0.519,0.2295,0.02650000000000001,0.818,0.909,0.053,0.368,0.333,0.567,0.9,0.588,0.818,0.909,0.857,0.714,0.9,0.733
0,oldpeak,0.9,0.8333333333333334,-1.0,0.107,0.0,-0.013,0.25,0.244,0,0.546,-0.5,0.047,0.818,0.818,0.053,0.158,0.333,0.4,0.9,0.75,0.818,0.818,0.857,0.783,0.9,0.833
0,ca,0.9,0.8333333333333334,0.333,0.167,0.053,0.211,0.8,0.64,0.2,0.36,0.193,0.189,0.818,0.909,0.053,0.211,0.333,0.467,0.9,0.714,0.818,0.909,0.857,0.8,0.9,0.833
0,thal,0.9,0.7666666666666667,0.107,-0.143,0.059,0.353,0.476,0.19,0.286,0.714,0.08299999999999999,0.105,0.818,0.909,0.053,0.316,0.333,0.533,0.9,0.625,0.818,0.909,0.857,0.741,0.9,0.767
1,age,0.8,0.7,-0.083,0.083,0.032,0.349,0.133,0.2,1.4,1.429,-0.025500000000000002,0.216,0.714,0.786,0.125,0.375,0.4,0.567,0.833,0.647,0.714,0.786,0.769,0.71,0.8,0.7
1,sex,0.8,0.6666666666666666,-0.25,-0.25,0.167,0.167,0.292,0.25,2.75,1.75,-0.041499999999999995,-0.041499999999999995,0.714,0.714,0.125,0.375,0.4,0.533,0.833,0.625,0.714,0.714,0.769,0.667,0.8,0.667
1,cp,0.8,0.6,-0.714,-0.643,-0.067,-0.367,0.292,0.167,2.75,0.75,-0.39049999999999996,-0.505,0.714,0.643,0.125,0.438,0.4,0.533,0.833,0.562,0.714,0.643,0.769,0.6,0.8,0.6
1,trestbps,0.8,0.6333333333333333,-1.0,-0.042,1.0,0.036,1.0,0.072,0,1.152,0.0,-0.0030000000000000027,0.714,0.643,0.125,0.375,0.4,0.5,0.833,0.6,0.714,0.643,0.769,0.621,0.8,0.633
1,chol,0.8,0.6666666666666666,-1.0,-0.208,0.0,-0.2,0.5,0.071,0,0.875,-0.5,-0.20400000000000001,0.714,0.714,0.125,0.375,0.4,0.533,0.833,0.625,0.714,0.714,0.769,0.667,0.8,0.667
1,fbs,0.8,0.6,0.308,0.385,0.167,0.25,0.24,0.16,2.2,1.4,0.2375,0.3175,0.714,0.643,0.125,0.438,0.4,0.533,0.833,0.562,0.714,0.643,0.769,0.6,0.8,0.6
1,restecg,0.8,0.6333333333333333,-0.133,-0.6,-0.109,0.455,0.188,0.5,0.625,0,-0.121,-0.07249999999999998,0.714,0.643,0.125,0.375,0.4,0.5,0.833,0.6,0.714,0.643,0.769,0.621,0.8,0.633
1,thalach,0.8,0.7333333333333333,0,0.429,0,-0.206,0,0.339,0,0.525,0.0,0.1115,0.714,0.786,0.125,0.312,0.4,0.533,0.833,0.688,0.714,0.786,0.769,0.734,0.8,0.733
1,exang,0.8,0.6,0.5,0.5,-0.167,0.0,0.45,0.3,0.357,0.625,0.16649999999999998,0.25,0.714,0.714,0.125,0.5,0.4,0.6,0.833,0.556,0.714,0.714,0.769,0.625,0.8,0.6
1,oldpeak,0.8,0.6333333333333333,1.0,0.333,0.0,-0.5,0.5,0.45,0.0,0.437,0.5,-0.08349999999999999,0.714,0.643,0.125,0.375,0.4,0.5,0.833,0.6,0.714,0.643,0.769,0.621,0.8,0.633
1,ca,0.8,0.6333333333333333,0.333,0.333,0.143,-0.071,0.115,0.212,0.769,0.718,0.238,0.131,0.714,0.714,0.125,0.438,0.4,0.567,0.833,0.588,0.714,0.714,0.769,0.645,0.8,0.633
1,thal,0.8,0.6333333333333333,0.65,0.55,-0.256,0.051,0.652,0.339,0.153,0.51,0.197,0.30050000000000004,0.714,0.643,0.125,0.375,0.4,0.5,0.833,0.6,0.714,0.643,0.769,0.621,0.8,0.633
2,age,0.8666666666666667,0.7666666666666667,-0.4,-0.5,-0.077,0.026,0.516,0.493,3.923,2.397,-0.23850000000000002,-0.237,0.786,0.857,0.062,0.312,0.4,0.567,0.917,0.706,0.786,0.857,0.846,0.774,0.867,0.767
2,sex,0.8666666666666667,0.7666666666666667,0.231,0.231,0.125,0.25,0.413,0.397,4.714,2.786,0.178,0.2405,0.786,0.786,0.062,0.25,0.4,0.5,0.917,0.733,0.786,0.786,0.846,0.759,0.867,0.767
2,cp,0.8666666666666667,0.7666666666666667,-0.786,-0.152,0.071,0.0,0.429,0.333,0,2.0,-0.35750000000000004,-0.076,0.786,0.786,0.062,0.25,0.4,0.5,0.917,0.733,0.786,0.786,0.846,0.759,0.867,0.767
2,trestbps,0.8666666666666667,0.8,0.0,-0.042,0.0,-0.063,0.5,0.009,0.5,0.983,0.0,-0.052500000000000005,0.786,0.857,0.062,0.25,0.4,0.533,0.917,0.75,0.786,0.857,0.846,0.8,0.867,0.8
2,chol,0.8666666666666667,0.8666666666666667,0,0.286,0,0.25,0,0.0,0,1.0,0.0,0.268,0.786,0.857,0.062,0.125,0.4,0.467,0.917,0.857,0.786,0.857,0.846,0.857,0.867,0.867
2,fbs,0.8666666666666667,0.7333333333333333,0.25,0.25,0.067,0.333,0.296,0.148,0.556,0.778,0.1585,0.2915,0.786,0.786,0.062,0.312,0.4,0.533,0.917,0.688,0.786,0.786,0.846,0.734,0.867,0.733
2,restecg,0.8666666666666667,0.8333333333333334,-0.022,-0.8,-0.077,0.0,0.136,0.5,1.375,0,-0.0495,-0.4,0.786,0.786,0.062,0.125,0.4,0.433,0.917,0.846,0.786,0.786,0.846,0.815,0.867,0.833
2,thalach,0.8666666666666667,0.7333333333333333,-1.0,-0.05,0,0.073,1.0,0.133,0,0.75,-0.5,0.011499999999999996,0.786,0.714,0.062,0.25,0.4,0.467,0.917,0.714,0.786,0.714,0.846,0.714,0.867,0.733
2,exang,0.8666666666666667,0.7666666666666667,0.5,0.042,-0.5,-0.214,0.75,0.35,0.167,0.562,0.0,-0.086,0.786,0.857,0.062,0.312,0.4,0.567,0.917,0.706,0.786,0.857,0.846,0.774,0.867,0.767
2,oldpeak,0.8666666666666667,0.8333333333333334,0.0,-0.083,0.0,-0.256,0.0,0.321,0,0.496,0.0,-0.1695,0.786,0.786,0.062,0.125,0.4,0.433,0.917,0.846,0.786,0.786,0.846,0.815,0.867,0.833
2,ca,0.8666666666666667,0.7333333333333333,0.333,0.022,0.062,0.312,0.72,0.32,0.28,0.6,0.1975,0.167,0.786,0.786,0.062,0.312,0.4,0.533,0.917,0.688,0.786,0.786,0.846,0.734,0.867,0.733
2,thal,0.8666666666666667,0.7,0.75,-0.05,0.067,-0.733,0.804,0.359,0.116,0.507,0.4085,-0.3915,0.786,0.714,0.062,0.312,0.4,0.5,0.917,0.667,0.786,0.714,0.846,0.69,0.867,0.7
3,age,0.9666666666666667,0.9,0.0,0.0,0.2,-0.022,0.393,0.25,2.1,1.5,0.1,-0.011,1.0,1.0,0.071,0.214,0.567,0.633,0.941,0.842,1.0,1.0,0.97,0.914,0.967,0.9
3,sex,0.9666666666666667,0.9333333333333333,0.0,0.091,0.111,0.111,0.1,0.05,1.2,1.1,0.0555,0.101,1.0,0.938,0.071,0.071,0.567,0.533,0.941,0.938,1.0,0.938,0.97,0.938,0.967,0.933
3,cp,0.9666666666666667,0.9333333333333333,-1.0,-1.0,0.111,-0.089,0.68,0.48,0,3.4,-0.4445,-0.5445,1.0,1.0,0.071,0.143,0.567,0.6,0.941,0.889,1.0,1.0,0.97,0.941,0.967,0.933
3,trestbps,0.9666666666666667,0.9333333333333333,0.0,0.0,0,0.222,0.0,0.086,1.0,1.158,0.0,0.111,1.0,1.0,0.071,0.143,0.567,0.6,0.941,0.889,1.0,1.0,0.97,0.941,0.967,0.933
3,chol,0.9666666666666667,0.9,0,-0.1,0,0.222,0,0.067,0,0.889,0.0,0.061,1.0,0.938,0.071,0.143,0.567,0.567,0.941,0.882,1.0,0.938,0.97,0.909,0.967,0.9
3,fbs,0.9666666666666667,0.8333333333333334,0.0,0.167,0.083,0.25,0.125,0.125,0.812,0.812,0.0415,0.20850000000000002,1.0,0.875,0.071,0.214,0.567,0.567,0.941,0.824,1.0,0.875,0.97,0.849,0.967,0.833
