Fold,Feature,Droped_Attrib,acc_,acc_after,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
0,age,None,0.9,0.8,-0.208,-0.333,0.1,0.289,0.278,0.417,2.667,2.667,-0.05399999999999999,-0.02200000000000002,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,sex,None,0.9,0.8,0.2,0.1,0.091,0.239,0.317,0.397,3.857,2.786,0.14550000000000002,0.16949999999999998,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,cp,None,0.9,0.8,-1.0,-0.5,0.1,0.289,0.526,0.502,0,3.763,-0.45,-0.10550000000000001,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,trestbps,None,0.9,0.8,-0.5,0.1,0.0,0.141,0.143,0.28,0,1.978,-0.25,0.1205,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,chol,None,0.9,0.8,1.0,0.167,0.0,0.078,1.0,0.0,0.0,1.0,0.5,0.1225,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,fbs,None,0.9,0.8,0.222,0.111,0.062,0.312,0.08,0.12,0.8,1.3,0.14200000000000002,0.2115,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,restecg,None,0.9,0.8,0.9,0.0,0.071,0.286,0.533,0.267,0.111,0,0.4855,0.143,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,thalach,None,0.9,0.8,1.0,0.25,0.0,-0.103,1.0,0.339,0.0,0.51,0.5,0.07350000000000001,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,exang,None,0.9,0.8,0.4,0.2,0.059,-0.824,0.568,0.682,0.242,0.318,0.2295,-0.31199999999999994,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,oldpeak,None,0.9,0.8,-1.0,0.25,0.0,-0.346,0.25,0.475,0,0.382,-0.5,-0.04799999999999999,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,ca,None,0.9,0.8,0.333,0.167,0.053,0.263,0.8,0.6,0.2,0.4,0.193,0.21500000000000002,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,thal,None,0.9,0.8,0.107,-0.143,0.059,0.294,0.476,0.238,0.286,0.643,0.08299999999999999,0.0755,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,age,['ca'],0.8666666666666667,0.7666666666666667,-0.208,-0.333,0.2,0.389,0.333,0.472,3.0,2.889,-0.00399999999999999,0.027999999999999997,0.818,0.909,0.105,0.316,0.367,0.533,0.818,0.625,0.818,0.909,0.818,0.741,0.867,0.767
0,sex,['ca'],0.8666666666666667,0.7666666666666667,0.2,0.1,0.182,0.33,0.365,0.444,4.286,3.0,0.191,0.21500000000000002,0.818,0.909,0.105,0.316,0.367,0.533,0.818,0.625,0.818,0.909,0.818,0.741,0.867,0.767
