ID,ID2,Feature,Feature2,Partial_ordering,swap_proportion,Type,P_a_b,P_a_not_b,P_b_not_a,P_a_b_over_P_a_not_b,P_b_a_over_P_b_not_a,Acc,Acc_after,hellinger_div,wasserstein_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
F_0,F_0,age,age,N/A,10.0,CDI,0,0,0,0,0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-0.208,0.107,0.1,0.059,0.278,0.476,2.667,0.286,-0.05399999999999999,0.08299999999999999,0.818,0.818,0.053,0.053,0.333,0.333,0.9,0.9,0.818,0.818,0.857,0.857,0.9,0.9
F_0,F_2,age,cp,frequent,10.0,NII,0.4175084175084175,0.11784511784511785,0.3400673400673401,3.5428571428571427,1.2277227722772277,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.208,0.0,0.1,0.0,0.278,0.476,2.667,0.286,-0.05399999999999999,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_0,F_2,age,cp,frequent,10.0,NDI,0.4175084175084175,0.11784511784511785,0.3400673400673401,3.5428571428571427,1.2277227722772277,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.208,0.0,0.1,0.0,0.278,0.476,2.667,0.286,-0.05399999999999999,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_0,F_3,age,trestbps,frequent,10.0,NII,0.05723905723905724,0.016835016835016835,0.06734006734006734,3.4000000000000004,0.8500000000000001,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.208,0.0,0.1,0.0,0.278,0.476,2.667,0.286,-0.05399999999999999,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_0,F_3,age,trestbps,frequent,10.0,NDI,0.05723905723905724,0.016835016835016835,0.06734006734006734,3.4000000000000004,0.8500000000000001,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.208,0.0,0.1,0.0,0.278,0.476,2.667,0.286,-0.05399999999999999,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_0,F_4,age,chol,frequent,10.0,NII,0.003367003367003367,0.003367003367003367,0.010101010101010102,1.0,0.3333333333333333,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.208,0.0,0.1,0.0,0.278,0.476,2.667,0.286,-0.05399999999999999,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_0,F_4,age,chol,frequent,10.0,NDI,0.003367003367003367,0.003367003367003367,0.010101010101010102,1.0,0.3333333333333333,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.208,0.0,0.1,0.0,0.278,0.476,2.667,0.286,-0.05399999999999999,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_0,F_5,age,fbs,frequent,10.0,NII,0.44107744107744107,0.09427609427609428,0.41414141414141414,4.678571428571429,1.065040650406504,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.208,0.0,0.1,0.0,0.278,0.476,2.667,0.286,-0.05399999999999999,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_0,F_5,age,fbs,frequent,10.0,NDI,0.44107744107744107,0.09427609427609428,0.41414141414141414,4.678571428571429,1.065040650406504,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.208,0.0,0.1,0.0,0.278,0.476,2.667,0.286,-0.05399999999999999,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_0,F_7,age,thalach,frequent,10.0,NII,0.016835016835016835,0.003367003367003367,0.006734006734006734,5.0,2.5,0.9,0.9666666666666667,0.098792419159368,0.00523238519607631,0.09999999999999995,0.00482998275098655,0.03602026321284821,3.333,3.333,-0.208,0.25,0.1,0.0,0.278,0.524,2.667,0.214,-0.05399999999999999,0.125,0.818,0.9,0.053,0.0,0.333,0.3,0.9,1.0,0.818,0.9,0.857,0.947,0.9,0.967
F_0,F_7,age,thalach,frequent,10.0,NDI,0.016835016835016835,0.003367003367003367,0.006734006734006734,5.0,2.5,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.208,0.0,0.1,0.0,0.278,0.476,2.667,0.286,-0.05399999999999999,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_0,F_8,age,exang,frequent,10.0,NII,0.32996632996632996,0.2053872053872054,0.3434343434343434,1.6065573770491803,0.9607843137254902,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.208,0.0,0.1,0.0,0.278,0.476,2.667,0.286,-0.05399999999999999,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_0,F_8,age,exang,frequent,10.0,NDI,0.32996632996632996,0.2053872053872054,0.3434343434343434,1.6065573770491803,0.9607843137254902,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.208,0.0,0.1,0.0,0.278,0.476,2.667,0.286,-0.05399999999999999,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_0,F_9,age,oldpeak,frequent,10.0,NII,0.12457912457912458,0.04040404040404041,0.21548821548821548,3.083333333333333,0.578125,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.208,0.0,0.1,0.0,0.278,0.476,2.667,0.286,-0.05399999999999999,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_0,F_9,age,oldpeak,frequent,10.0,NDI,0.12457912457912458,0.04040404040404041,0.21548821548821548,3.083333333333333,0.578125,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.208,0.0,0.1,0.0,0.278,0.476,2.667,0.286,-0.05399999999999999,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_0,F_10,age,ca,frequent,10.0,NII,0.3838383838383838,0.15151515151515152,0.4208754208754209,2.533333333333333,0.9119999999999999,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.208,0.0,0.1,0.0,0.278,0.476,2.667,0.286,-0.05399999999999999,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_0,F_10,age,ca,frequent,10.0,NDI,0.3838383838383838,0.15151515151515152,0.4208754208754209,2.533333333333333,0.9119999999999999,0.9,1.0,0.0,0.0,0.0,0.0,0.0,3.333,0.0,-0.208,0.0,0.1,0.0,0.278,0.587,2.667,0.245,-0.05399999999999999,0.0,0.818,1.0,0.053,0.0,0.333,0.367,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_0,F_11,age,thal,frequent,10.0,NII,0.2962962962962963,0.23905723905723905,0.3164983164983165,1.2394366197183098,0.9361702127659574,0.9,0.9666666666666667,0.098792419159368,0.00523238519607631,0.09090909090909093,0.004901504356196033,0.03628476200379124,0.0,3.333,-0.208,-0.143,0.1,0.0,0.278,0.476,2.667,0.286,-0.05399999999999999,-0.0715,0.818,0.909,0.053,0.0,0.333,0.333,0.9,1.0,0.818,0.909,0.857,0.952,0.9,0.967
F_0,F_11,age,thal,frequent,10.0,NDI,0.2962962962962963,0.23905723905723905,0.3164983164983165,1.2394366197183098,0.9361702127659574,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.208,0.0,0.1,0.0,0.278,0.476,2.667,0.286,-0.05399999999999999,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_1,F_1,sex,sex,N/A,10.0,CDI,0,0,0,0,0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.2,0.107,0.091,0.059,0.317,0.476,3.857,0.286,0.14550000000000002,0.08299999999999999,0.818,0.818,0.053,0.053,0.333,0.333,0.9,0.9,0.818,0.818,0.857,0.857,0.9,0.9
F_1,F_0,sex,age,defined,10.0,NII,0,0,0,0,0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.091,0.0,0.317,0.476,3.857,0.286,0.14550000000000002,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_1,F_0,sex,age,defined,10.0,NDI,0,0,0,0,0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.091,0.0,0.317,0.476,3.857,0.286,0.14550000000000002,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_1,F_2,sex,cp,defined,10.0,NII,0,0,0,0,0,0.9,0.9666666666666667,0.098792419159368,0.00523238519607631,0.09090909090909093,0.005730341537747345,0.036284762003791264,3.333,3.333,0.2,0.0,0.091,0.059,0.317,0.429,3.857,0.357,0.14550000000000002,0.0295,0.818,1.0,0.053,0.05,0.333,0.367,0.9,0.909,0.818,1.0,0.857,0.952,0.9,0.967
F_1,F_2,sex,cp,defined,10.0,NDI,0,0,0,0,0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.091,0.0,0.317,0.476,3.857,0.286,0.14550000000000002,0.0,0.818,1.0,0.053,0.0,0.333,0.333,0.9,1.0,0.818,1.0,0.857,1.0,0.9,1.0
F_1,F_3,sex,trestbps,defined,10.0,NII,0,0,0,0,0,0.9,0.9666666666666667,0.098792419159368,0.00523238519607631,0.09090909090909093,0.005730341537747345,0.036284762003791264,3.333,3.333,0.2,0.0,0.091,0.059,0.317,0.429,3.857,0.357,0.14550000000000002,0.0295,0.818,1.0,0.053,0.05,0.333,0.367,0.9,0.909,0.818,1.0,0.857,0.952,0.9,0.967
