ID,ID2,Feature,Feature2,swap_proportion,Type,P_a_b,P_a_not_b,P_b_not_a,P_a_b_over_P_a_not_b,P_b_a_over_P_b_not_a,Acc,Acc_after,distortion_multiple,distortion_feature,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,effect_distance,effect_distance_contrained,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
F_0,F_0,sex,sex,10.0,CDI,0,0,0,0,0,0.5914127423822715,0.592797783933518,0.004847645429362881,0.019390581717451522,0.17111348938666637,0.0002174121272607865,0.7040040835292097,0.004545454545454556,0.0007961810943807068,0.013847810329799341,0.416,40.72,0.004155124653739612,1.0,0.33,0.353,-0.416,-0.474,0.38,0.417,0.585,0.531,-0.04299999999999998,-0.0605,0.682,0.684,0.518,0.518,0.608,0.609,0.615,0.616,0.682,0.684,0.647,0.648,0.591,0.593
F_0,F_1,sex,age,10.0,NII,0.022872192958136955,0.0020792902689215414,0.005406154699196007,11.0,4.230769230769231,0.5914127423822715,0.997229916897507,0.0,0.0,0.13971357903482584,0.0004348242545215904,0.7050438831939646,0.004524886877827999,0.0005585401143131514,0.011299368350656853,0.693,0.277,0.002770083102493075,1.0,0.33,0.0,-0.416,0.008,0.38,0.412,0.585,0.535,-0.04299999999999998,0.004,0.682,1.0,0.518,0.007,0.608,0.612,0.615,0.995,0.682,1.0,0.647,0.997,0.591,0.997
F_0,F_1,sex,age,10.0,NDI,0.022872192958136955,0.0020792902689215414,0.005406154699196007,11.0,4.230769230769231,0.5914127423822715,0.9958448753462604,0.004847645429362881,0.019390581717451522,0.17111348938666637,0.0002174121272607865,0.7039960678819254,0.004524886877828005,0.0007549197267921255,0.013857739789666049,0.554,0.416,0.004155124653739612,1.0,0.33,0.009,-0.416,-0.036,0.38,0.414,0.585,0.533,-0.04299999999999998,-0.013499999999999998,0.682,0.995,0.518,0.004,0.608,0.611,0.615,0.998,0.682,0.995,0.647,0.996,0.591,0.996
F_1,F_1,age,age,10.0,CDI,0,0,0,0,0,0.5914127423822715,0.5886426592797784,0.0,0.007315860501456069,0.197584838318736,0.0004348242545215904,0.7029621810517642,0.006802721088435337,0.0010748809277304088,0.015985370442712015,0.554,41.136,0.00554016620498615,1.0,0.143,0.346,0.5,-0.466,0.353,0.408,0.647,0.538,0.3215,-0.060000000000000026,0.682,0.682,0.518,0.525,0.608,0.611,0.615,0.612,0.682,0.682,0.647,0.645,0.591,0.589
F_2,F_2,race,race,10.0,CDI,0,0,0,0,0,0.5914127423822715,0.5914127423822715,0.004847645429362881,0.019390581717451522,0.13971357903482584,0.0004348242545215904,0.7050465304970588,0.004535147392290212,0.0005581410655935001,0.011295329079847621,0.277,40.859,0.002770083102493075,1.0,0.233,0.353,-0.361,-0.47,0.293,0.414,0.633,0.533,-0.06399999999999999,-0.058499999999999996,0.682,0.684,0.518,0.521,0.608,0.611,0.615,0.615,0.682,0.684,0.647,0.648,0.591,0.591
F_2,F_0,race,sex,10.0,NII,0.5450512891599667,0.11477682284446909,0.26157471583032993,4.748792270531401,2.0837307896131425,0.5914127423822715,0.9944598337950139,0.004847645429362881,0.0,0.197584838318736,0.0,0.7029507550954841,0.0045351473922902496,0.0010349625224425403,0.016002457973611196,0.554,0.554,0.00554016620498615,1.0,0.233,0.009,-0.361,0.008,0.293,0.414,0.633,0.533,-0.06399999999999999,0.0085,0.682,0.995,0.518,0.007,0.608,0.611,0.615,0.995,0.682,0.995,0.647,0.995,0.591,0.994
F_2,F_0,race,sex,10.0,NDI,0.5450512891599667,0.11477682284446909,0.26157471583032993,4.748792270531401,2.0837307896131425,0.5914127423822715,0.9986149584487535,0.004847645429362881,0.019390581717451522,0.098792419159368,0.00021741212726080392,0.706076742697059,0.002267573696145086,0.00027964128866003925,0.007994114453917763,0.554,0.139,0.0013850415512465374,1.0,0.233,0.0,-0.361,0.004,0.293,0.414,0.633,0.533,-0.06399999999999999,0.002,0.682,1.0,0.518,0.004,0.608,0.611,0.615,0.998,0.682,1.0,0.647,0.999,0.591,0.999
F_2,F_1,race,age,10.0,NII,0.019406709176601054,0.001247574161352925,0.00887163848073191,15.555555555555555,2.1875,0.5914127423822715,0.997229916897507,0.0,0.0,0.13971357903482584,0.0004348242545215904,0.7050438831939646,0.004524886877827999,0.0005585401143131508,0.011299368350656846,0.416,0.277,0.002770083102493075,1.0,0.233,0.0,-0.361,0.008,0.293,0.412,0.633,0.535,-0.06399999999999999,0.004,0.682,1.0,0.518,0.007,0.608,0.612,0.615,0.995,0.682,1.0,0.647,0.997,0.591,0.997
F_2,F_1,race,age,10.0,NDI,0.019406709176601054,0.001247574161352925,0.00887163848073191,15.555555555555555,2.1875,0.5914127423822715,0.997229916897507,0.004847645429362881,0.019390581717451522,0.13971357903482584,0.0,0.7050378482357964,0.0022675736961451248,0.0005174812612212702,0.011315446548793214,0.554,0.277,0.002770083102493075,1.0,0.233,0.004,-0.361,-0.036,0.293,0.414,0.633,0.533,-0.06399999999999999,-0.016,0.682,0.998,0.518,0.004,0.608,0.611,0.615,0.998,0.682,0.998,0.647,0.998,0.591,0.997
F_3,F_3,priors_count,priors_count,10.0,CDI,0,0,0,0,0,0.5914127423822715,0.592797783933518,0.004155124653739612,0.01662049861495845,0.17111348938666637,0.0002174121272607865,0.7040040835292097,0.004545454545454556,0.0007961810943807068,0.013847810329799341,0.416,40.72,0.004155124653739612,1.0,0.204,0.353,-0.269,-0.459,0.242,0.41,0.679,0.536,-0.032500000000000015,-0.05300000000000002,0.682,0.684,0.518,0.518,0.608,0.609,0.615,0.616,0.682,0.684,0.647,0.648,0.591,0.593
