ID,ID2,Feature,Feature2,Partial_ordering,swap_proportion,Type,P_a_b,P_a_not_b,P_b_not_a,P_a_b_over_P_a_not_b,P_b_a_over_P_b_not_a,Acc,Acc_after,hellinger_div,wasserstein_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
F_0,F_0,sex,sex,N/A,10.0,CDI,0,0,0,0,0,0.5914127423822715,0.5914127423822715,0.46337751977618175,0.0017392970180863093,0.03355704697986566,0.0058318899726831925,0.03747842594031228,3.047,40.859,0.33,0.341,-0.416,-0.457,0.38,0.402,0.585,0.547,-0.04299999999999998,-0.057999999999999996,0.682,0.692,0.518,0.531,0.608,0.619,0.615,0.613,0.682,0.692,0.647,0.65,0.591,0.591
F_1,F_1,age,age,N/A,10.0,CDI,0,0,0,0,0,0.5914127423822715,0.5955678670360111,0.5320134588687091,0.0006522363817823769,0.0361990950226244,0.007553716643716081,0.04307074495281492,4.017,40.443,0.143,0.345,0.5,-0.444,0.353,0.4,0.647,0.545,0.3215,-0.049500000000000016,0.682,0.689,0.518,0.518,0.608,0.612,0.615,0.618,0.682,0.689,0.647,0.652,0.591,0.596
F_1,F_0,age,sex,defined,10.0,NII,0,0,0,0,0,0.5914127423822715,0.9293628808864266,0.705518990709232,0.003696006163433405,0.07692307692307733,0.012733378583004678,0.05675960984816285,5.263,7.064,0.143,0.047,0.5,-0.086,0.353,0.391,0.647,0.539,0.3215,-0.019499999999999997,0.682,0.923,0.518,0.061,0.608,0.589,0.615,0.96,0.682,0.923,0.647,0.941,0.591,0.929
F_1,F_0,age,sex,defined,10.0,NDI,0,0,0,0,0,0.5914127423822715,0.9792243767313019,0.3826213941357748,0.0002174121272607865,0.01785714285714287,0.003919077693526361,0.0310596546364672,3.186,2.078,0.143,0.021,0.5,-0.05,0.353,0.406,0.647,0.544,0.3215,-0.0145,0.682,0.984,0.518,0.029,0.608,0.62,0.615,0.982,0.682,0.984,0.647,0.983,0.591,0.979
F_1,F_2,age,race,defined,10.0,NII,0,0,0,0,0,0.5914127423822715,0.943213296398892,0.6325801335939746,0.004565654672476551,0.069351230425056,0.010037870239271511,0.05076088155272618,4.017,5.679,0.143,0.061,0.5,-0.042,0.353,0.408,0.647,0.527,0.3215,0.009499999999999998,0.682,0.931,0.518,0.036,0.608,0.59,0.615,0.977,0.682,0.931,0.647,0.953,0.591,0.943
F_1,F_2,age,race,defined,10.0,NDI,0,0,0,0,0,0.5914127423822715,0.9598337950138505,0.5320134588687091,0.0015218848908255228,0.04072398190045235,0.007602887160126455,0.042997897015654964,4.017,4.017,0.143,0.031,0.5,0.028,0.353,0.406,0.647,0.54,0.3215,0.0295,0.682,0.975,0.518,0.063,0.608,0.612,0.615,0.959,0.682,0.975,0.647,0.967,0.591,0.96
F_1,F_3,age,priors_count,defined,10.0,NII,0,0,0,0,0,0.5914127423822715,0.96398891966759,0.5037444730886552,0.0021741212726078822,0.04137931034482725,0.0064479893400901074,0.040528384268058215,4.155,3.601,0.143,0.017,0.5,-0.01,0.353,0.41,0.647,0.524,0.3215,0.0035000000000000005,0.682,0.959,0.518,0.028,0.608,0.589,0.615,0.981,0.682,0.959,0.647,0.97,0.591,0.964
F_1,F_3,age,priors_count,defined,10.0,NDI,0,0,0,0,0,0.5914127423822715,0.9695290858725761,0.46337751977618186,0.0008696485090431633,0.029279279279279435,0.00576809877210593,0.03752319112987621,2.909,3.047,0.143,0.021,0.5,0.01,0.353,0.402,0.647,0.545,0.3215,0.0155,0.682,0.98,0.518,0.046,0.608,0.615,0.615,0.971,0.682,0.98,0.647,0.975,0.591,0.97
F_1,F_4,age,c_charge_degree,defined,10.0,NII,0,0,0,0,0,0.5914127423822715,0.9542936288088643,0.5675192408640333,0.0023915333998686685,0.05000000000000049,0.008251672487153411,0.04573812908552624,4.432,4.571,0.143,0.042,0.5,-0.039,0.353,0.414,0.647,0.524,0.3215,0.0015000000000000013,0.682,0.95,0.518,0.039,0.608,0.594,0.615,0.974,0.682,0.95,0.647,0.962,0.591,0.954
F_1,F_4,age,c_charge_degree,defined,10.0,NDI,0,0,0,0,0,0.5914127423822715,0.9653739612188366,0.49396209579684003,0.0006522363817823769,0.031674208144796184,0.006520236919442265,0.03998877259286647,4.294,3.463,0.143,0.01,0.5,-0.13,0.353,0.362,0.647,0.576,0.3215,-0.060000000000000005,0.682,0.975,0.518,0.049,0.608,0.612,0.615,0.968,0.682,0.975,0.647,0.971,0.591,0.965
