Fold,Feature,Droped_Attrib,acc_,acc_after,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
0,sex,None,0.5914127423822715,0.5581717451523546,0.33,0.077,-0.416,0.006,0.38,0.063,0.585,0.907,-0.04299999999999998,0.0415,0.682,0.669,0.518,0.577,0.608,0.627,0.615,0.585,0.682,0.669,0.647,0.624,0.591,0.558
0,age,None,0.5914127423822715,0.554016620498615,0.143,0.074,0.5,-0.108,0.353,0.097,0.647,0.862,0.3215,-0.017,0.682,0.662,0.518,0.577,0.608,0.623,0.615,0.582,0.682,0.662,0.647,0.619,0.591,0.554
0,race,None,0.5914127423822715,0.5761772853185596,0.233,0.129,-0.361,-0.135,0.293,0.134,0.633,0.794,-0.06399999999999999,-0.0030000000000000027,0.682,0.629,0.518,0.488,0.608,0.565,0.615,0.61,0.682,0.629,0.647,0.619,0.591,0.576
0,priors_count,None,0.5914127423822715,0.5678670360110804,0.204,-0.018,-0.269,-0.156,0.242,0.064,0.679,0.911,-0.032500000000000015,-0.087,0.682,0.732,0.518,0.632,0.608,0.687,0.615,0.585,0.682,0.732,0.647,0.65,0.591,0.568
0,c_charge_degree,None,0.5914127423822715,0.574792243767313,0.357,0.035,-0.474,-0.159,0.419,0.097,0.528,0.878,-0.058499999999999996,-0.062,0.682,0.775,0.518,0.669,0.608,0.727,0.615,0.585,0.682,0.775,0.647,0.667,0.591,0.575
0,sex,['race'],0.5886426592797784,0.5872576177285319,0.295,0.023,-0.421,0.047,0.36,0.023,0.588,0.966,-0.063,0.035,0.654,0.732,0.491,0.589,0.58,0.668,0.618,0.602,0.654,0.732,0.635,0.661,0.589,0.587
0,age,['race'],0.5886426592797784,0.590027700831025,0.143,-0.003,0.5,0.059,0.353,0.005,0.647,1.008,0.3215,0.027999999999999997,0.654,0.72,0.491,0.567,0.58,0.651,0.618,0.606,0.654,0.72,0.635,0.658,0.589,0.59
0,priors_count,['race'],0.5886426592797784,0.5761772853185596,0.242,-0.013,-0.259,-0.119,0.259,0.053,0.648,0.911,-0.008500000000000008,-0.066,0.654,0.629,0.491,0.488,0.58,0.565,0.618,0.61,0.654,0.629,0.635,0.619,0.589,0.576
0,c_charge_degree,['race'],0.5886426592797784,0.5803324099722992,0.369,0.044,-0.497,-0.122,0.435,0.09,0.5,0.868,-0.064,-0.039,0.654,0.682,0.491,0.543,0.58,0.619,0.618,0.604,0.654,0.682,0.635,0.641,0.589,0.58
0,sex,['priors_count'],0.6024930747922438,0.5581717451523546,0.31,0.077,-0.451,0.006,0.383,0.063,0.586,0.907,-0.07050000000000001,0.0415,0.697,0.669,0.512,0.577,0.614,0.627,0.623,0.585,0.697,0.669,0.658,0.624,0.602,0.558
0,age,['priors_count'],0.6024930747922438,0.554016620498615,0.0,0.074,0.6,-0.108,0.235,0.097,0.765,0.862,0.3,-0.017,0.697,0.662,0.512,0.577,0.614,0.623,0.623,0.582,0.697,0.662,0.658,0.619,0.602,0.554
0,race,['priors_count'],0.6024930747922438,0.5761772853185596,0.22,0.129,-0.343,-0.135,0.278,0.134,0.649,0.794,-0.06150000000000001,-0.0030000000000000027,0.697,0.629,0.512,0.488,0.614,0.565,0.623,0.61,0.697,0.629,0.658,0.619,0.602,0.576
0,c_charge_degree,['priors_count'],0.6024930747922438,0.554016620498615,0.408,0.049,-0.437,-0.013,0.435,0.044,0.519,0.924,-0.014500000000000013,0.018000000000000002,0.697,0.591,0.512,0.491,0.614,0.546,0.623,0.594,0.697,0.591,0.658,0.592,0.602,0.554
0,age,['sex'],0.5858725761772853,0.5775623268698061,0.143,0.013,0.5,-0.053,0.353,0.043,0.647,0.942,0.3215,-0.02,0.664,0.758,0.509,0.641,0.594,0.705,0.613,0.589,0.664,0.758,0.637,0.663,0.586,0.578
0,race,['sex'],0.5858725761772853,0.5872576177285319,0.271,0.055,-0.375,-0.159,0.32,0.104,0.601,0.858,-0.05199999999999999,-0.052000000000000005,0.664,0.732,0.509,0.589,0.594,0.668,0.613,0.602,0.664,0.732,0.637,0.661,0.586,0.587
0,priors_count,['sex'],0.5858725761772853,0.5581717451523546,0.245,-0.022,-0.297,-0.164,0.277,0.065,0.636,0.902,-0.025999999999999995,-0.093,0.664,0.669,0.509,0.577,0.594,0.627,0.613,0.585,0.664,0.669,0.637,0.624,0.586,0.558
0,c_charge_degree,['sex'],0.5858725761772853,0.554016620498615,0.396,0.004,-0.578,-0.21,0.483,0.096,0.473,0.869,-0.09099999999999997,-0.103,0.664,0.707,0.509,0.632,0.594,0.673,0.613,0.576,0.664,0.707,0.637,0.635,0.586,0.554
0,sex,['c_charge_degree'],0.6094182825484764,0.554016620498615,0.327,-0.001,-0.554,-0.095,0.431,0.044,0.548,0.938,-0.11350000000000002,-0.048,0.694,0.707,0.494,0.632,0.604,0.673,0.631,0.576,0.694,0.707,0.661,0.635,0.609,0.554
0,age,['c_charge_degree'],0.6094182825484764,0.5734072022160664,0.143,0.067,0.5,0.01,0.353,0.052,0.647,0.926,0.3215,0.0385,0.694,0.717,0.494,0.601,0.604,0.665,0.631,0.592,0.694,0.717,0.661,0.649,0.609,0.573
0,race,['c_charge_degree'],0.6094182825484764,0.5803324099722992,0.268,0.09,-0.453,-0.133,0.354,0.112,0.575,0.838,-0.0925,-0.021500000000000005,0.694,0.682,0.494,0.543,0.604,0.619,0.631,0.604,0.694,0.682,0.661,0.641,0.609,0.58
0,priors_count,['c_charge_degree'],0.6094182825484764,0.554016620498615,0.203,-0.04,-0.202,-0.034,0.214,0.001,0.708,1.002,0.0005000000000000004,-0.037000000000000005,0.694,0.591,0.494,0.491,0.604,0.546,0.631,0.594,0.694,0.591,0.661,0.592,0.609,0.554
0,sex,['age'],0.5858725761772853,0.5775623268698061,0.253,0.047,-0.366,-0.057,0.308,0.069,0.692,0.909,-0.056499999999999995,-0.005000000000000001,0.806,0.758,0.681,0.641,0.749,0.705,0.59,0.589,0.806,0.758,0.681,0.663,0.586,0.578
0,race,['age'],0.5858725761772853,0.590027700831025,0.303,0.064,-0.484,-0.15,0.386,0.105,0.614,0.854,-0.0905,-0.043,0.806,0.72,0.681,0.567,0.749,0.651,0.59,0.606,0.806,0.72,0.681,0.658,0.586,0.59
0,priors_count,['age'],0.5858725761772853,0.554016620498615,0.339,0.002,-0.502,-0.217,0.417,0.101,0.583,0.852,-0.08149999999999999,-0.1075,0.806,0.662,0.681,0.577,0.749,0.623,0.59,0.582,0.806,0.662,0.681,0.619,0.586,0.554
0,c_charge_degree,['age'],0.5858725761772853,0.5734072022160664,0.31,0.074,-0.444,-0.162,0.376,0.121,0.624,0.837,-0.067,-0.044000000000000004,0.806,0.717,0.681,0.601,0.749,0.665,0.59,0.592,0.806,0.717,0.681,0.649,0.586,0.573
1,sex,None,0.6301939058171745,0.6094182825484764,0.296,0.078,-0.535,-0.073,0.405,0.099,0.566,0.872,-0.11950000000000002,0.0025000000000000022,0.709,0.767,0.477,0.605,0.611,0.698,0.669,0.633,0.709,0.767,0.688,0.694,0.63,0.609
1,age,None,0.6301939058171745,0.592797783933518,0.125,0.065,0.5,-0.068,0.286,0.101,0.714,0.841,0.3125,-0.0015000000000000013,0.709,0.627,0.477,0.454,0.611,0.554,0.669,0.652,0.709,0.627,0.688,0.639,0.63,0.593
1,race,None,0.6301939058171745,0.6066481994459834,0.261,0.153,-0.302,-0.205,0.3,0.193,0.631,0.73,-0.02049999999999999,-0.025999999999999995,0.709,0.666,0.477,0.474,0.611,0.584,0.669,0.656,0.709,0.666,0.688,0.661,0.63,0.607
1,priors_count,None,0.6301939058171745,0.6149584487534626,0.189,0.006,-0.219,-0.056,0.212,0.035,0.713,0.95,-0.015,-0.025,0.709,0.752,0.477,0.572,0.611,0.676,0.669,0.641,0.709,0.752,0.688,0.692,0.63,0.615
1,c_charge_degree,None,0.6301939058171745,0.610803324099723,0.393,0.062,-0.484,-0.054,0.451,0.079,0.494,0.895,-0.045499999999999985,0.004,0.709,0.769,0.477,0.605,0.611,0.699,0.669,0.634,0.709,0.769,0.688,0.695,0.63,0.611
1,sex,['race'],0.6204986149584487,0.6094182825484764,0.312,0.078,-0.579,-0.073,0.427,0.099,0.549,0.872,-0.13349999999999998,0.0025000000000000022,0.697,0.767,0.484,0.605,0.607,0.698,0.662,0.633,0.697,0.767,0.679,0.694,0.62,0.609
1,age,['race'],0.6204986149584487,0.5969529085872576,0.125,0.025,0.5,-0.048,0.286,0.061,0.714,0.918,0.3125,-0.0115,0.697,0.752,0.484,0.614,0.607,0.694,0.662,0.625,0.697,0.752,0.679,0.683,0.62,0.597
1,priors_count,['race'],0.6204986149584487,0.6066481994459834,0.189,-0.025,-0.209,-0.055,0.207,0.017,0.717,0.971,-0.009999999999999995,-0.04,0.697,0.666,0.484,0.474,0.607,0.584,0.662,0.656,0.697,0.666,0.679,0.661,0.62,0.607
1,c_charge_degree,['race'],0.6204986149584487,0.5914127423822715,0.385,0.004,-0.474,-0.05,0.44,0.041,0.5,0.935,-0.044499999999999984,-0.023,0.697,0.668,0.484,0.513,0.607,0.602,0.662,0.639,0.697,0.668,0.679,0.653,0.62,0.591
1,sex,['priors_count'],0.6343490304709142,0.5955678670360111,0.332,0.048,-0.569,-0.169,0.44,0.11,0.541,0.843,-0.11849999999999997,-0.060500000000000005,0.712,0.683,0.471,0.523,0.609,0.615,0.673,0.64,0.712,0.683,0.692,0.661,0.634,0.596
1,age,['priors_count'],0.6343490304709142,0.5983379501385041,0.125,0.103,0.333,-0.141,0.357,0.145,0.643,0.805,0.229,-0.018999999999999996,0.712,0.695,0.471,0.533,0.609,0.626,0.673,0.639,0.712,0.695,0.692,0.666,0.634,0.598
1,race,['priors_count'],0.6343490304709142,0.6066481994459834,0.258,0.153,-0.344,-0.205,0.315,0.193,0.617,0.73,-0.04299999999999998,-0.025999999999999995,0.712,0.666,0.471,0.474,0.609,0.584,0.673,0.656,0.712,0.666,0.692,0.661,0.634,0.607
1,c_charge_degree,['priors_count'],0.6343490304709142,0.6038781163434903,0.398,0.105,-0.508,-0.084,0.465,0.121,0.482,0.798,-0.05499999999999999,0.010499999999999995,0.712,0.611,0.471,0.405,0.609,0.524,0.673,0.672,0.712,0.611,0.692,0.64,0.634,0.604
1,age,['sex'],0.6260387811634349,0.5872576177285319,0.125,0.063,0.5,-0.122,0.286,0.101,0.714,0.875,0.3125,-0.0295,0.692,0.772,0.464,0.663,0.596,0.726,0.67,0.613,0.692,0.772,0.681,0.683,0.626,0.587
1,race,['sex'],0.6260387811634349,0.6094182825484764,0.319,0.15,-0.319,-0.095,0.342,0.146,0.587,0.816,0.0,0.027499999999999997,0.692,0.767,0.464,0.605,0.596,0.698,0.67,0.633,0.692,0.767,0.681,0.694,0.626,0.609
1,priors_count,['sex'],0.6260387811634349,0.5955678670360111,0.237,-0.014,-0.183,-0.034,0.226,0.014,0.692,0.978,0.026999999999999996,-0.024,0.692,0.683,0.464,0.523,0.596,0.615,0.67,0.64,0.692,0.683,0.681,0.661,0.626,0.596
1,c_charge_degree,['sex'],0.6260387811634349,0.5969529085872576,0.393,0.064,-0.579,-0.008,0.487,0.061,0.457,0.911,-0.09299999999999997,0.028,0.692,0.707,0.464,0.552,0.596,0.641,0.67,0.635,0.692,0.707,0.681,0.669,0.626,0.597
1,sex,['c_charge_degree'],0.6398891966759003,0.5969529085872576,0.357,0.054,-0.63,-0.108,0.481,0.094,0.496,0.868,-0.1365,-0.027,0.683,0.707,0.418,0.552,0.571,0.641,0.689,0.635,0.683,0.707,0.686,0.669,0.64,0.597
1,age,['c_charge_degree'],0.6398891966759003,0.5872576177285319,0.125,0.023,0.5,-0.075,0.286,0.066,0.714,0.905,0.3125,-0.026,0.683,0.697,0.418,0.562,0.571,0.64,0.689,0.628,0.683,0.697,0.686,0.661,0.64,0.587
1,race,['c_charge_degree'],0.6398891966759003,0.5914127423822715,0.241,0.087,-0.331,-0.185,0.302,0.141,0.61,0.798,-0.04500000000000001,-0.049,0.683,0.668,0.418,0.513,0.571,0.602,0.689,0.639,0.683,0.668,0.686,0.653,0.64,0.591
