ID,ID2,Feature,Feature2,swap_proportion,Type,P_a_b,P_a_not_b,P_b_not_a,P_a_b_over_P_a_not_b,P_b_a_over_P_b_not_a,Acc,Acc_after,distortion_multiple,distortion_feature,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,effect_distance,effect_distance_contrained,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
F_0,F_0,sex,sex,10.0,CDI,0,0,0,0,0,0.6056826056826057,0.6029106029106029,0.0031185031185031187,0.012474012474012475,0.197584838318736,0.00021756279401565287,0.7050450019551496,0.0034207525655644555,0.0005377229159751101,0.011304424534379898,0.277,39.709,0.002772002772002772,1.0,0.295,0.38,-0.472,-0.475,0.379,0.434,0.584,0.511,-0.0885,-0.04749999999999999,0.688,0.687,0.501,0.506,0.606,0.608,0.639,0.636,0.688,0.687,0.663,0.661,0.606,0.603
F_0,F_1,sex,age,10.0,NII,0.022872192958136955,0.0020792902689215414,0.005406154699196007,11.0,4.230769230769231,0.6056826056826057,0.9951489951489951,0.0,0.0,0.2613801725141405,0.00032634419102346186,0.7034818666175634,0.005681818181818199,0.0009361401602194579,0.01495952736129345,0.624,0.485,0.004851004851004851,1.0,0.295,0.005,-0.472,0.01,0.379,0.431,0.584,0.514,-0.0885,0.0075,0.688,0.998,0.501,0.009,0.606,0.61,0.639,0.994,0.688,0.998,0.663,0.996,0.606,0.995
F_0,F_1,sex,age,10.0,NDI,0.022872192958136955,0.0020792902689215414,0.005406154699196007,11.0,4.230769230769231,0.6056826056826057,0.9958419958419958,0.0031185031185031187,0.012474012474012475,0.24199101739560827,0.0004351255880312883,0.7040111175901449,0.005694760820045608,0.0008160854458001487,0.013836848020318976,0.624,0.416,0.004158004158004158,1.0,0.295,0.002,-0.472,0.01,0.379,0.433,0.584,0.512,-0.0885,0.006,0.688,0.999,0.501,0.009,0.606,0.608,0.639,0.994,0.688,0.999,0.663,0.996,0.606,0.996
F_1,F_1,age,age,10.0,CDI,0,0,0,0,0,0.6056826056826057,0.6029106029106029,0.0,0.005934929011852089,0.31240906010166003,0.00021756279401565287,0.7019161814805668,0.006841505131128893,0.0013127054367673674,0.017877669705140525,0.693,39.709,0.00693000693000693,1.0,0.133,0.375,0.5,-0.475,0.323,0.431,0.677,0.513,0.3165,-0.04999999999999999,0.688,0.687,0.501,0.506,0.606,0.608,0.639,0.636,0.688,0.687,0.663,0.661,0.606,0.603
F_2,F_2,race,race,10.0,CDI,0,0,0,0,0,0.6056826056826057,0.604989604989605,0.0024255024255024253,0.009702009702009701,0.098792419159368,0.00010878139700782644,0.7065931790056662,0.0011415525114155903,0.00013979028254530127,0.005651706201429418,0.069,39.501,0.000693000693000693,1.0,0.248,0.378,-0.348,-0.479,0.301,0.435,0.627,0.51,-0.04999999999999999,-0.05049999999999999,0.688,0.688,0.501,0.502,0.606,0.607,0.639,0.638,0.688,0.688,0.663,0.662,0.606,0.605
F_2,F_0,race,sex,10.0,NII,0.5450512891599667,0.11477682284446909,0.26157471583032993,4.748792270531401,2.0837307896131425,0.6056826056826057,0.9951489951489951,0.0031185031185031187,0.0,0.2613801725141405,0.00032634419102346186,0.7034841684299291,0.005688282138794043,0.0009358050905346828,0.014956848530001291,0.554,0.485,0.004851004851004851,1.0,0.248,0.0,-0.348,0.01,0.301,0.429,0.627,0.516,-0.04999999999999999,0.005,0.688,0.998,0.501,0.009,0.606,0.609,0.639,0.994,0.688,0.998,0.663,0.996,0.606,0.995
F_2,F_0,race,sex,10.0,NDI,0.5450512891599667,0.11477682284446909,0.26157471583032993,4.748792270531401,2.0837307896131425,0.6056826056826057,0.9972279972279973,0.0024255024255024253,0.009702009702009701,0.197584838318736,0.00021756279401563544,0.705042407367168,0.0034129692832764796,0.0005381080628210582,0.011308473603549729,0.554,0.277,0.002772002772002772,1.0,0.248,-0.002,-0.348,0.006,0.301,0.429,0.627,0.516,-0.04999999999999999,0.002,0.688,0.999,0.501,0.005,0.606,0.609,0.639,0.997,0.688,0.999,0.663,0.998,0.606,0.997
F_2,F_1,race,age,10.0,NII,0.019406709176601054,0.001247574161352925,0.00887163848073191,15.555555555555555,2.1875,0.6056826056826057,0.9958419958419958,0.0,0.0,0.24199101739560827,0.00021756279401565287,0.7040066032264857,0.004561003420752603,0.0007537140968587883,0.013846673513801514,0.416,0.416,0.004158004158004158,1.0,0.248,0.0,-0.348,0.004,0.301,0.43,0.627,0.513,-0.04999999999999999,0.002,0.688,0.995,0.501,0.004,0.606,0.606,0.639,0.998,0.688,0.995,0.663,0.996,0.606,0.996
F_2,F_1,race,age,10.0,NDI,0.019406709176601054,0.001247574161352925,0.00887163848073191,15.555555555555555,2.1875,0.6056826056826057,1.0,0.0024255024255024253,0.009702009702009701,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.624,0.0,0.0,0.0,0.248,0.0,-0.348,0.0,0.301,0.429,0.627,0.514,-0.04999999999999999,0.0,0.688,1.0,0.501,0.0,0.606,0.607,0.639,1.0,0.688,1.0,0.663,1.0,0.606,1.0
F_3,F_3,priors_count,priors_count,10.0,CDI,0,0,0,0,0,0.6056826056826057,0.6042966042966043,0.0022522522522522522,0.009009009009009009,0.13971357903482584,0.00021756279401565287,0.7060788854325618,0.0022805017103763115,0.00027939540904435795,0.007990598269797282,0.139,39.57,0.001386001386001386,1.0,0.209,0.378,-0.241,-0.477,0.232,0.434,0.689,0.511,-0.016,-0.04949999999999999,0.688,0.688,0.501,0.504,0.606,0.608,0.639,0.637,0.688,0.688,0.663,0.662,0.606,0.604
